,0
notting,36806
hill,24658
district,14152
west,57767
london,31078
built,6540
fashionable,18286
victorian,56258
suburb,50992
run,45007
mid,33670
twentieth,54924
century,7552
retains,43980
distinctly,14136
cosmopolitan,10799
atmosphere,3240
biggest,5059
street,50512
market,32714
small,48491
specialist,49155
shops,47594
wife,57916
shop,47587
bargains,4058
hero,24457
film,18906
william,57992
thacker,52558
owner,38000
travel,54317
bookshop,5694
concerns,10139
romance,44715
develops,13091
young,59364
woman,58251
named,35916
anna,2510
scott,46113
meets,33296
comes,9613
notting hill,36807
hill district,24662
district west,14153
west london,57770
london built,31081
built fashionable,6541
fashionable victorian,18288
victorian suburb,56260
suburb run,50994
run mid,45021
mid twentieth,33674
twentieth century,54925
century fashionable,7558
fashionable retains,18287
retains distinctly,43981
distinctly cosmopolitan,14137
cosmopolitan atmosphere,10800
atmosphere london,3250
london biggest,31080
biggest street,5064
street market,50516
market small,32719
small specialist,48511
specialist shops,49156
shops wife,47596
wife shop,57938
shop bargains,47588
bargains hero,4059
hero film,24464
film william,19472
william thacker,57996
thacker owner,52559
owner shops,38006
shops travel,47595
travel bookshop,54320
bookshop film,5695
film concerns,19014
concerns romance,10140
romance develops,44720
develops william,13096
william young,57998
young woman,59401
woman named,58279
named anna,35917
anna scott,2516
scott meets,46117
meets comes,33299
comes shop,9644
attention,3315
got,22540
andy,2397
kaufman,28305
didn,13340
leave,29551
comic,9660
legacy,29675
just,27975
taxi,52135
latka,29277
character,7780
amusing,2319
doses,14628
make,32137
movie,34613
secondary,46473
sitcom,48188
actor,1069
unfortunately,55384
ll,30938
asking,3114
question,41966
attention got,3327
got andy,22541
andy kaufman,2399
kaufman didn,28308
didn leave,13386
leave comic,29558
comic legacy,9666
legacy just,29676
just taxi,28211
taxi latka,52139
latka character,29278
character amusing,7787
amusing small,2326
small doses,48498
doses make,14629
make movie,32217
movie secondary,35216
secondary sitcom,46475
sitcom actor,48189
actor unfortunately,1102
unfortunately ll,55391
ll asking,30945
asking question,3116
question movie,41976
spy,49484
shagged,47338
title,53728
expect,17185
garner,21332
respect,43866
does,14251
okay,37243
austin,3459
powers,40720
arrival,2988
characters,7929
mini,33836
