,0
used,88226
ok,58698
couple,17393
years,93927
lost,50026
plot,62812
demonizes,20225
men,53091
portrays,63637
abusers,1164
women,92340
victims,89027
real,66976
world,92950
instead,42453
balance,6502
drama,23314
reflects,68088
ratings,66730
hype,40871
family,28600
stop,79170
watching,90734
used ok,88252
ok couple,58708
couple years,17432
years lost,93990
lost plot,50057
plot demonizes,62845
demonizes men,20226
men portrays,53136
portrays men,63642
men abusers,53094
abusers women,1165
women victims,92402
victims real,89029
real world,67072
world instead,93019
instead balance,42456
balance drama,6505
drama reflects,23373
reflects world,68093
world ratings,93046
ratings hype,66735
hype family,40874
family stop,28688
stop watching,79209
acting,1471
haphazard,37602
characters,12889
dimensional,21555
loathsome,49427
writing,93522
predictable,64083
trashy,85921
hate,37997
reason,67549
joined,43996
imdb,41337
communicate,15669
odious,58501
remotely,68754
capacity,11289
air,3081
positive,63674
view,89068
humanity,40568
government,36010
criminal,18060
justice,44854
watch,90383
communicates,15674
sensationalized,73717
myth,56547
need,56936
fear,29478
depicts,20328
public,65607
officials,58629
sinister,75992
self,73586
righteous,69956
villains,89260
violence,89304
justified,44869
portrayed,63603
protagonists,65384
acting haphazard,1521
haphazard characters,37603
characters dimensional,12971
dimensional loathsome,21559
loathsome writing,49429
writing predictable,93573
predictable trashy,64119
trashy hate,85923
hate reason,38032
reason joined,67580
joined imdb,44000
imdb communicate,41344
communicate world,15671
world odious,93031
odious remotely,58503
remotely capacity,68756
capacity air,11290
air positive,3098
positive view,63689
view world,89103
world humanity,93018
humanity government,40576
government criminal,36017
criminal justice,18065
justice watch,44868
watch communicates,90428
communicates sensationalized,15676
sensationalized myth,73718
myth need,56549
need fear,56951
fear depicts,29484
depicts public,20331
public officials,65616
officials sinister,58631
sinister self,75995
self righteous,73622
righteous villains,69958
villains violence,89276
violence justified,89317
justified justified,44874
justified characters,44871
characters portrayed,13094
portrayed protagonists,63622
visited,89421
notting,58021
hill,39217
page,60020
surprised,81358
modest,54326
rating,66691
movie,55017
sure,81196
like,47924
meet,52913
people,60953
gave,33811
poor,63364
understand,87412
inquire,42283
consider,16452
great,36252
ask,5098
story,79308
agree,2955
rich,69704
girl,34522
guy,37006
love,50289
beautifully,7131
direction,21673
performance,61337
subtle,80514
humor,40616
makes,51370
feel,29579
good,35406
entertains,25915
perfect,61241
touch,85429
romance,70418
sorrow,77274
backed,6211
beautiful,7067
dialogues,20996
visited notting,89424
notting hill,58022
hill page,39223
page surprised,60029
surprised modest,81391
modest rating,54329
rating movie,66709
movie sure,55788
sure like,81232
like meet,48252
meet people,52933
people gave,61046
gave poor,33844
poor rating,63401
rating understand,66726
understand inquire,87440
inquire consider,42284
consider great,16460
great movie,36391
movie movie,55545
movie ask,55071
ask great,5105
great story,36449
story agree,79320
agree rich,2979
rich girl,69712
girl poor,34603
poor guy,63388
guy love,37074
love story,50483
story plot,79534
plot beautifully,62821
beautifully great,7135
great direction,36323
direction great,21691
great performance,36405
performance subtle,61396
subtle great,80521
great humor,36363
humor makes,40676
makes feel,51404
feel good,29617
good watching,35721
watching entertains,90782
entertains perfect,25918
perfect touch,61295
touch romance,85442
romance humor,70429
humor sorrow,40697
sorrow backed,77275
backed beautiful,6212
beautiful dialogues,7081
don,22925
expect,27414
funny,33327
just,44375
jim,43763
carry,11638
disappointed,21928
cable,10884
times,84813
funnier,33310
acted,1444
kind,45477
man,51635
moon,54662
definitely,19948
search,72928
hard,37761
comedy,15225
don expect,22967
expect funny,27433
funny movie,33421
movie just,55462
just jim,44596
jim carry,43766
carry movie,11642
movie disappointed,55237
disappointed cable,21932
cable guy,10886
guy times,37110
times funnier,84852
funnier movie,33313
movie jim,55459
carry acted,11639
acted kind,1456
kind movie,45532
movie expect,55288
expect man,27443
man moon,51710
moon definitely,54663
definitely drama,19969
drama need,23365
need search,56986
search hard,72932
hard comedy,37771
favorite,29379
james,43533
bond,8990
film,30284
pierce,62027
brosnan,10243
films,31078
longest,49663
teasers,82497
pre,64016
credits,17949
sequences,73966
series,74018
river,70075
thames,83100
chase,13289
brilliant,9948
start,78523
mention,53191
filmed,31025
london,49533
background,6217
action,1630
scene,72022
stands,78360
helicopter,38675
attack,5404
caspian,11812
sea,72908
interesting,42773
twists,87010
turns,86754
oil,58696
involvement,43151
gives,34773
finest,31499
outings,59658
world favorite,92997
favorite james,29404
james bond,43538
bond film,8995
film pierce,30743
pierce brosnan,62028
brosnan bond,10244
bond films,8996
films longest,31176
longest teasers,49665
teasers pre,82498
pre credits,64017
credits sequences,17966
sequences series,73983
series river,74190
river thames,70078
thames chase,83101
chase brilliant,13292
brilliant start,9993
start mention,78559
mention filmed,53199
filmed london,31028
london background,49535
background action,6219
action scene,1712
scene stands,72101
stands film,78365
film helicopter,30585
helicopter attack,38676
attack caspian,5407
caspian sea,11816
sea plot,72912
plot interesting,62897
interesting twists,42870
twists turns,87022
turns oil,86779
oil involvement,58697
involvement pierce,43154
pierce gives,62030
gives finest,34785
finest bond,31501
bond performance,8999
performance outings,61383
spoof,78035
right,69834
far,28986
movies,55931
really,67228
unfunny,87659
waste,90333
time,84474
applies,4638
2001,387
space,77471
travesty,85960
friedberg,32930
seltzer,73664
hit,39376
miss,54060
moments,54408
reasonably,67638
entertaining,25815
spaceballs,77488
opinions,59210
belongs,7568
category,12032
work,92725
level,47488
young,94151
frankenstein,32722
underrated,87398
gem,33920
galaxy,33651
quest,65995
fits,31660
glove,34974
like good,48141
good spoof,35667
spoof comedy,78037
comedy movie,15319
movie right,55688
right far,69873
far spoof,29067
spoof movies,78042
movies really,56102
really unfunny,67510
unfunny waste,87667
waste time,90346
time applies,84489
applies 2001,4639
2001 space,396
space travesty,77487
travesty friedberg,85962
friedberg seltzer,32931
seltzer kind,73665
kind hit,45518
hit miss,39399
miss moments,54075
moments reasonably,54440
reasonably entertaining,67640
entertaining spaceballs,25865
spaceballs opinions,77489
opinions belongs,59213
belongs category,7570
category spoof,12038
spoof work,78043
work level,92765
level young,47526
young frankenstein,94172
frankenstein underrated,32727
underrated gem,87403
gem galaxy,33924
galaxy quest,33652
quest fits,65999
fits like,31665
like glove,48138
shocked,74981
rated,66656
highly,39119
offensive,58521
titillating,84998
little,48989
satisfaction,71442
end,25080
reece,68008
witherspoon,92195
character,12625
developed,20759
script,72769
care,11417
happens,37687
ryan,70995
philippe,61762
filled,30249
bravado,9709
sarah,71371
gellar,33918
caricature,11536
surprising,81424
ending,25277
surprise,81322
technicals,82513
fine,31468
lighting,47877
scenery,72119
outside,59696
appointments,4648
inside,42318
sound,77378
bit,8304
difficult,21483
hear,38375
vhs,88985
copy,17064
saw,71550
talent,82064
shocked movie,74992
movie rated,55640
rated highly,66667
highly offensive,39134
offensive titillating,58525
titillating gave,84999
gave little,33835
little satisfaction,49123
satisfaction watching,71443
watching end,90779
end reece,25196
reece witherspoon,68009
witherspoon character,92196
character developed,12692
developed script,20774
script care,72785
care happens,11441
happens ryan,37709
ryan philippe,71004
philippe character,61763
character filled,12717
filled bravado,30253
bravado little,9710
little sarah,49122
sarah gellar,71378
gellar character,33919
character interesting,12749
interesting caricature,42783
caricature surprising,11539
surprising ending,81432
ending surprise,25338
surprise technicals,81355
technicals film,82514
film fine,30536
fine good,31479
good lighting,35565
lighting interesting,47880
interesting scenery,42846
scenery outside,72130
outside rich,59710
rich appointments,69705
appointments inside,4649
inside sound,42336
sound bit,77381
bit difficult,8333
difficult hear,21494
hear vhs,38397
vhs copy,88987
copy saw,17077
saw waste,71645
waste talent,90345
talent time,82091
sofia,76948
coppola,17055
adaptation,2208
jeffrey,43648
eugenides,26685
excellent,27088
novel,58028
visually,89444
stunning,80225
fails,28357
capture,11345
book,9042
spirit,77887
sofia coppola,76949
coppola film,17056
film adaptation,30306
adaptation jeffrey,2220
jeffrey eugenides,43649
eugenides excellent,26686
excellent novel,27124
novel beautiful,58030
beautiful visually,7123
visually stunning,89450
stunning movie,80237
movie fails,55302
fails capture,28360
capture book,11347
book spirit,9124
looking,49804
scare,71956
look,49678
worst,93176
excuse,27286
seen,73344
horror,40105
style,80357
shooting,75049
expected,27529
shaky,74670
hand,37402
held,38650
camera,11106
fitted,31669
premise,64205
felt,29830
amateur,3552
school,72336
kids,45256
actual,2006
footage,32193
event,26755
supposed,81131
depict,20300
looking scare,49861
scare look,71960
look worst,49767
worst excuse,93195
excuse seen,27297
seen horror,73424
horror film,40126
film style,30885
style shooting,80389
shooting expected,75052
expected shaky,27557
shaky hand,74671
hand held,37415
held camera,38651
camera fitted,11112
fitted premise,31671
premise film,64217
film felt,30527
felt like,29853
like watching,48496
watching amateur,90743
amateur film,3555
film school,30814
school kids,72365
kids actual,45262
actual footage,2014
footage real,32194
real event,67005
event supposed,26761
supposed depict,81140
seeing,73234
bland,8565
witch,92180
project,65203
ran,66461
cinemas,13998
screaming,72580
wasted,90348
10,21
fictional,30062
documentary,22528
pseudo,65538
form,32418
overrated,59877
financed,31375
piece,61983
come,15064
pike,62044
long,49562
suspense,81545
identification,41085
spectacle,77694
student,80088
types,87083
traipsing,85768
cluelessly,14704
unfamiliar,87580
forest,32308
reported,68896
history,39331
gruesome,36816
plain,62349
stupid,80253
know,45756
printed,64691
foreword,32339
makers,51352
doomed,23088
got,35849
didn,21232
happened,37640
seeing bland,73244
bland witch,8574
witch project,92184
project understand,65216
understand people,87452
people ran,61140
ran cinemas,66462
cinemas screaming,14001
screaming wasted,72587
wasted 10,90349
10 fictional,40
fictional documentary,30064
documentary pseudo,22536
pseudo documentary,65540
documentary form,22533
form overrated,32437
overrated financed,59878
financed piece,31376
piece film,61991
film come,30395
come pike,15139
pike long,62045
long time,49637
time suspense,84742
suspense involvement,81559
involvement identification,43152
identification spectacle,41086
spectacle film,77696
film student,30881
student types,80101
types traipsing,87095
traipsing cluelessly,85769
cluelessly unfamiliar,14705
unfamiliar forest,87582
forest reported,32315
reported history,68898
history gruesome,39351
gruesome violence,36821
violence just,89316
just plain,44675
plain stupid,62364
stupid know,80285
know printed,45889
printed foreword,64692
foreword young,32340
young film,94171
film makers,30677
makers doomed,51359
doomed time,23090
time got,84580
got know,35918
know little,45854
little didn,49046
didn care,21241
care happened,11440
maybe,52494
oliver,58959
stone,79139
directed,21604
football,32195
starring,78457
al,3157
pacino,59977
expecting,27562
masterpiece,52247
quite,66140
taken,81890
aback,878
turd,86656
given,34720
sunday,80892
nfl,57414
team,82413
miami,53444
sharks,74780
head,38282
coach,14724
trying,86507
desperately,20557
playoffs,62666
battle,6908
unnecessary,87901
roughness,70656
field,30081
