,0
bizarre,11361
word,129669
came,14943
mind,75253
reflected,95377
film,41970
common,21593
muttering,79417
heard,53505
friends,45735
watching,126956
admit,3163
idea,57288
going,48884
kept,63010
incredulity,58561
largely,64935
shared,104635
sentiment,103454
bizarre word,11384
word came,129677
came mind,14990
mind reflected,75318
reflected film,95378
film common,42178
common muttering,21611
muttering heard,79418
heard friends,53543
friends watching,45845
watching film,127015
film admit,42001
admit idea,3187
idea going,57320
going watching,49106
watching heard,127031
heard film,53541
film kept,42538
kept incredulity,63029
incredulity largely,58562
largely shared,64938
shared sentiment,104640
john,61489
malkovich,72407
odd,82168
little,68616
dark,26252
comedy,20919
slightly,107009
open,82917
interpretation,59903
deals,26952
themes,116406
like,67116
identity,57436
manipulation,72747
sex,104273
neuroses,80492
acting,1885
excellent,37518
expected,38147
cast,16000
screenplay,101847
good,49233
direction,30088
editing,33923
moves,77114
comfortable,21241
pace,84163
relying,95970
somewhat,107907
obscure,81921
messages,74756
embedded,34524
intriguing,59997
plot,88307
characters,17564
line,68153
action,2101
intellect,59484
john malkovich,61515
malkovich odd,72411
odd little,82178
little dark,68653
dark comedy,26264
comedy slightly,21059
slightly open,107033
open interpretation,82926
interpretation deals,59905
deals themes,26968
themes like,116415
like identity,67477
identity manipulation,57442
manipulation sex,72749
sex neuroses,104320
neuroses acting,80493
acting excellent,1946
excellent expected,37556
expected cast,38157
cast screenplay,16144
screenplay good,101862
good direction,49331
direction editing,30108
editing film,33932
film moves,42648
moves comfortable,77118
comfortable pace,21244
pace relying,84178
relying somewhat,95973
somewhat obscure,107928
obscure messages,81927
messages embedded,74760
embedded intriguing,34526
intriguing plot,60009
plot characters,88339
characters plot,17839
plot line,88445
line action,68157
action intellect,2168
realistic,94147
wonderfully,129557
touching,119468
fairy,39487
tale,114503
story,110896
romance,98603
people,85555
unequal,122537
social,107657
financial,43576
standing,109641
beautiful,9423
rich,97505
famous,39870
american,4831
movie,77141
star,109682
superbly,113074
captured,15361
incomparable,58432
endearing,35044
julia,61985
roberts,98208
brings,13625
wonderful,129459
vulnerability,125404
roles,98509
hugh,56630
grant,50259
perfect,85999
shy,105686
stammering,109554
bumbling,14352
unassuming,122034
affluent,3586
london,69433
bookseller,12357
shares,104641
flat,43991
zany,131945
weird,127941
roommate,98753
spike,108973
realistic wonderfully,94214
wonderfully touching,129576
touching fairy,119473
fairy tale,39489
tale like,114528
like story,67803
story romance,111212
romance people,98624
people unequal,85913
unequal social,122538
social financial,107666
financial standing,43580
standing beautiful,109643
beautiful rich,9490
rich famous,97511
famous american,39872
american movie,4897
movie star,78265
star superbly,109735
superbly captured,113076
captured incomparable,15370
incomparable endearing,58434
endearing julia,35051
julia roberts,61990
roberts brings,98210
brings wonderful,13653
wonderful vulnerability,129554
vulnerability roles,125405
roles hugh,98524
hugh grant,56632
grant perfect,50272
perfect shy,86094
shy stammering,105691
stammering bumbling,109555
bumbling unassuming,14355
unassuming obscure,122035
obscure affluent,81922
affluent london,3587
