,0
prime,25046
example,10078
just,16953
seen,28439
like,18322
does,8444
make,19513
cinematic,5218
masterpiece,19970
scuzzy,28278
puppeteer,25440
john,16748
cusack,6971
snide,29701
worker,35778
catherine,4539
keener,17165
discover,8239
portal,24597
mind,20561
actor,648
malkovich,19689
playing,24229
bizarre,3186
office,22676
decide,7324
profit,25202
marketed,19870
comedy,5696
film,11313
inventive,16411
definitely,7416
original,22943
laughs,17856
virtually,34501
dry,8939
40,217
minutes,20647
strange,30876
plot,24311
takes,31745
turn,33539
incorporating,15938
lesbianism,18101
spousal,30248
abuse,400
cults,6933
mix,20745
events,9974
sinister,29409
disturbing,8388
running,27410
time,32727
unfortunately,33862
main,19474
characters,4804
including,15918
unrecognizable,33992
cameron,4224
diaz,7817
frumpy,12511
wife,35392
odious,22645
impossible,15848
identify,15687
climax,5431
really,25994
care,4304
initially,16059
terrific,32158
reprehensible,26622
profiteer,25204
given,13193
limited,18585
notes,22434
play,24178
good,13456
sport,30224
pretty,24967
dull,8969
character,4720
envisioned,9784
hard,14438
recall,26158
unappealing,33725
director,8118
spike,30129
jonze,16856
definite,7412
potential,24721
ambition,1348
spins,30144
control,6299
far,10834
quickly,25567
project,25215
look,18959
drab,8763
blues,3341
greys,13954
downer,8748
hype,15613
amazingly,1336
experience,10307
prime example,25047
example just,10085
just seen,17069
seen like,28484
like does,18367
does make,8491
make cinematic,19525
cinematic masterpiece,5224
masterpiece scuzzy,19977
scuzzy puppeteer,28279
puppeteer john,25441
john cusack,16751
cusack snide,6978
snide worker,29702
worker catherine,35779
catherine keener,4541
keener discover,17166
discover portal,8241
portal mind,24598
mind actor,20565
actor john,659
john malkovich,16757
malkovich playing,19691
playing bizarre,24232
bizarre office,3188
office decide,22680
decide profit,7328
profit marketed,25203
marketed comedy,19871
comedy film,5709
film inventive,11507
inventive definitely,16412
definitely original,7425
original laughs,22959
laughs virtually,17875
virtually dry,34504
dry 40,8940
40 minutes,222
minutes strange,20671
strange plot,30881
plot takes,24388
takes bizarre,31748
bizarre turn,3189
turn incorporating,33546
incorporating lesbianism,15939
lesbianism spousal,18102
spousal abuse,30249
abuse cults,402
cults mix,6934
mix events,20747
events sinister,9979
sinister disturbing,29410
disturbing running,8393
running time,27418
time unfortunately,32843
unfortunately main,33867
main characters,19476
characters including,4846
including unrecognizable,15927
unrecognizable cameron,33993
cameron diaz,4225
diaz cusack,7820
cusack frumpy,6974
frumpy wife,12512
wife odious,35405
odious impossible,22646
impossible identify,15852
identify climax,15689
climax really,5433
really does,26013
does care,8457
care keener,4312
keener initially,17167
initially terrific,16061
terrific reprehensible,32166
reprehensible profiteer,26623
profiteer given,25205
given limited,13210
limited notes,18586
notes play,22435
play malkovich,24181
malkovich good,19690
good sport,13580
sport pretty,30228
pretty dull,24975
dull character,8970
character envisioned,4739
envisioned hard,9785
hard recall,14461
recall cusack,26159
cusack unappealing,6979
unappealing director,33726
director spike,8155
spike jonze,30130
jonze definite,16857
definite potential,7415
potential ambition,24722
ambition spins,1350
spins control,30145
control far,6300
far quickly,10855
quickly project,25570
project look,25221
look film,18969
film drab,11423
drab blues,8764
blues greys,3342
greys downer,13955
downer hype,8750
hype film,15615
film amazingly,11335
amazingly experience,1339
strong,30954
reviews,26857
great,13773
cast,4460
interesting,16298
premise,24897
rent,26558
movie,21044
funny,12609
demented,7496
plain,24127
bad,2308
wish,35504
born,3560
lauded,17794
classic,5316
quite,25589
frankly,12337
fact,10543
cult,6926
makes,19594
wonder,35614
end,9444
western,35301
civilization,5270
near,22015
strong reviews,30960
reviews great,26867
great cast,13786
cast interesting,4480
interesting premise,16321
premise rent,24907
rent movie,26564
movie funny,21220
funny demented,12626
demented just,7497
just plain,17053
plain bad,24128
bad film,2329
film wish,11702
wish born,35505
born movie,3563
movie lauded,21310
lauded classic,17795
classic quite,5332
quite frankly,25605
frankly fact,12344
fact cult,10552
cult classic,6928
classic makes,5327
makes wonder,19632
wonder end,35618
end western,9504
western civilization,35302
civilization near,5271
bitter,3181
sweet,31643
moments,20828
truly,33432
stark,30383
drama,8799
high,14927
class,5307
yes,36181
randy,25707
dogs,8569
fat,10931
ugly,33706
girls,13175
piece,24014
act,489
mixes,20752
laugh,17796
loud,19159
comic,5781
set,28780
pieces,24029
cleverly,5397
bitter sweet,3183
sweet comedy,31646
comedy moments,5729
moments truly,20850
truly stark,33452
stark drama,30384
drama high,8806
high class,14931
class movie,5310
movie yes,21592
yes randy,36194
randy dogs,25709
dogs fat,8572
fat ugly,10935
ugly girls,33708
girls piece,13184
piece class,24017
class act,5308
act mixes,496
mixes laugh,20754
laugh loud,17811
loud funny,19163
funny comic,12624
comic set,5791
set pieces,28802
pieces great,24031
great drama,13800
drama cleverly,8803
east,9141
brilliant,3799
effort,9265
convey,6321
father,10943
dilemma,8036
tribulations,33306
multiracial,21761
family,10707
community,5886
asian,1855
perspective,23856
nt,22497
farther,10893
truth,33462
happening,14403
om,22805
puri,25463
seasoned,28307
carries,4390
shoulder,29132
excellent,10099
support,31388
basset,2542
scene,27915
particular,23347
sees,28521
photographs,23938
daughters,7156
law,17887
contemplates,6224
word,35682
honour,15213
decides,7343
hastily,14540
lest,18112
lose,19057
face,10510
shines,29025
scenes,27963
justice,17116
confrontation,6111
mother,20973
brides,3777
performs,23784
brilliantly,3827
suppressing,31441
bursting,4073
anger,1470
children,5039
excelling,10138
way,35084
neighbours,22118
friends,12449
films,11740
appeal,1669
message,20410
east east,9143
east brilliant,9142
brilliant effort,3810
effort convey,9267
convey father,6323
father dilemma,10949
dilemma tribulations,8038
tribulations multiracial,33307
multiracial family,21762
family community,10709
community asian,5887
asian perspective,1857
perspective movie,23860
movie nt,21367
nt farther,22499
farther truth,10894
truth really,33469
really happening,26034
happening om,14405
om puri,22806
puri seasoned,25464
seasoned actor,28308
actor carries,652
carries film,4391
film shoulder,11626
shoulder excellent,29133
excellent support,10132
support basset,31389
basset scene,2544
scene particular,27948
particular sees,23357
sees photographs,28524
photographs daughters,23939
daughters law,7157
law contemplates,17890
contemplates word,6225
word given,35690
given family,13203
family honour,10717
honour decides,15214
decides hastily,7345
hastily lest,14541
lest lose,18113
lose face,19059
face movie,10522
movie shines,21460
shines scenes,29033
scenes great,27988
great actor,13776
actor justice,660
justice basset,17117
basset confrontation,2543
confrontation mother,6112
mother brides,20975
brides performs,3778
performs brilliantly,23785
brilliantly suppressing,3830
suppressing bursting,31442
bursting anger,4074
anger children,1471
children movie,5048
movie excelling,21183
excelling way,10139
way neighbours,35124
neighbours friends,22119
friends support,12477
support films,31391
films appeal,11746
appeal message,1671
november,22486
1999,136
thing,32310
happened,14385
intelligent,16236
action,576
filled,11301
drawn,8833
unconventional,33756
structure,30976
storyline,30838
required,26659
pay,23482
attention,2008
stranger,30886
james,16592
bond,3416
series,28713
widely,35389
regarded,26329
mass,19941
public,25368
fluff,12052
actually,761
properly,25247
motivated,20992
highly,14957
underrated,33784
living,18804
daylights,7213
comes,5752
november 1999,22487
1999 strange,139
strange thing,30882
thing happened,32327
happened intelligent,14392
intelligent action,16237
action film,594
film filled,11455
filled drawn,11303
drawn characters,8836
characters unconventional,4892
unconventional plot,33757
plot structure,24386
structure storyline,30979
storyline required,30845
required pay,26660
pay attention,23483
attention stranger,2016
stranger james,30890
james bond,16593
bond film,3418
film series,11616
series widely,28749
widely regarded,35391
regarded mass,26330
mass public,19943
public fluff,25370
fluff bond,12053
bond films,3419
films actually,11743
actually prime,788
example properly,10089
properly plot,25249
plot motivated,24363
motivated action,20993
action pieces,609
pieces highly,24032
highly underrated,14969
underrated living,33789
living daylights,18805
daylights comes,7214
comes mind,5770
know,17460
sounds,29936
silly,29270
think,32385
funniest,12596
movies,21598
maybe,20067
mood,20927
little,18693
surprised,31519
rating,25781
knew,17436
lot,19084
people,23541
enjoyed,9659
did,7828
know sounds,17517
sounds silly,29946
silly just,29278
just think,17091
think funniest,32415
funniest movies,12604
movies seen,21677
seen maybe,28490
maybe just,20079
just good,17010
good mood,13543
mood little,20933
little surprised,18754
surprised rating,31533
rating just,25785
just knew,17020
knew lot,17442
lot people,19122
people enjoyed,23568
enjoyed movie,9673
movie did,21147
relish,26455
idea,15648
told,32958
diagnosed,7776
decomposing,7358
legs,18071
jerk,16646
myers,21874
possibly,24688
martin,19904
short,29092
lousiest,19177
comedian,5676
night,22287
watched,35014
classy,5345
british,3855
comedies,5685
manor,19820
tonight,33015
attempted,1987
view,34378
garbage,12821
believe,2761
ll,18817
bet,2913
craniums,6626
air,1156
absolute,345
trash,33232
stint,30615
saturday,27657
live,18763
contributed,6288
excursion,10182
realms,26112
idiocy,15698
think funny,32416
funny relish,12683
relish idea,26456
idea told,15669
told diagnosed,32962
diagnosed decomposing,7777
decomposing legs,7359
legs jerk,18072
jerk myers,16649
myers possibly,21881
possibly martin,24695
martin short,19907
short lousiest,29097
lousiest comedian,19178
comedian seen,5677
seen night,28495
night watched,22303
watched classy,35015
classy british,5346
british comedies,3858
comedies manor,5691
manor born,19821
born tonight,3565
tonight attempted,33016
attempted view,1988
view garbage,34381
garbage nt,12825
nt believe,22498
believe people,2779
people think,23632
funny ll,12663
ll bet,18824
bet craniums,2914
craniums air,6627
air absolute,1157
absolute trash,351
trash maybe,33236
maybe stint,20090
stint saturday,30616
saturday night,27661
night live,22295
live contributed,18766
contributed excursion,6289
excursion realms,10183
realms idiocy,26113
tim,32720
burton,4075
rant,25722
love,19184
dark,7097
subject,31147
job,16687
knows,17556
story,30691
famous,10730
headless,14663
horseman,15356
sleepy,29563
hollow,15109
halloween,14275
guaranteed,14074
cartoon,4401
hear,14684
best,2845
known,17544
ghost,13066
stories,30679
stars,30403
johnny,16766
depp,7546
ichabod,15639
crane,6622
scientist,28081
non,22349
believer,2792
finally,11833
faces,10533
scary,27883
figure,11284
choice,5088
brought,3936
perfect,23667
strangeness,30884
intelligence,16231
adds,881
bit,3121
coward,6587
honest,15180
human,15485
add,838
nightmarish,22314
feature,11025
having,14598
christopher,5160
walken,34671
wasn,34884
image,15749
tim burton,32723
burton know,4077
know rant,17508
rant love,25723
love director,19200
director given,8132
given dark,13199
dark subject,7111
subject does,31148
does great,8475
great job,13822
job knows,16710
knows story,17563
story famous,30728
famous headless,10734
headless horseman,14664
horseman sleepy,15357
sleepy hollow,29564
hollow halloween,15111
halloween guaranteed,14276
guaranteed cartoon,14075
cartoon hear,4404
hear story,14690
story best,30700
best known,2874
known ghost,17550
ghost stories,13077
stories time,30687
time stars,32832
stars johnny,30409
johnny depp,16769
depp ichabod,7550
ichabod crane,15642
crane famous,6623
famous scientist,10741
scientist non,28085
non believer,22350
believer finally,2793
finally faces,11837
faces scary,10535
scary figure,27890
figure johnny,11286
johnny definitely,16768
definitely great,7422
great choice,13788
choice ichabod,5091
ichabod brought,15641
brought perfect,3947
perfect strangeness,23683
strangeness intelligence,30885
intelligence love,16234
love adds,19186
adds ichabod,882
ichabod bit,15640
bit coward,3126
coward honest,6588
honest human,15183
human tim,15505
tim just,32724
just add,16954
add nightmarish,845
nightmarish feature,22315
feature having,11027
having christopher,14606
christopher walken,5162
walken ghost,34672
ghost headless,13072
horseman wasn,15358
wasn pretty,34909
pretty image,24984
generally,12909
rate,25766
based,2478
watch,34946
necessary,22046
qualities,25514
list,18666
agains,1066
seeing,28386
joke,16777
impact,15809
tears,31953
laughter,17878
saw,27689
airplane,1170
cinema,5193
going,13359
inflatable,16023
pilot,24044
raises,25687
smile,29650
generally rate,12915
rate films,25769
films highly,11764
highly based,14959
based like,2493
like watch,18514
watch watch,35011
watch films,34971
films necessary,11785
necessary qualities,22048
qualities watch,25517
watch comedy,34955
comedy films,5710
films high,11763
high list,14943
list watch,18672
watch agains,34949
agains seeing,1067
seeing joke,28400
joke comic,16780
comic scene,5790
scene hard,27935
hard impact,14452
impact recall,15811
recall tears,26163
tears laughter,31956
laughter saw,17881
saw airplane,27692
airplane cinema,1171
cinema hard,5201
hard going,14450
going inflatable,13384
inflatable pilot,16024
pilot raises,24045
raises smile,25688
galaxy,12759
quest,25548
couldn,6456
better,2924
mockumentary,20772
star,30347
trek,33286
parody,23335
pure,25448
legend,18063
actors,679
absolutely,353
production,25174
galaxy quest,12760
quest couldn,25549
couldn better,6459
better mockumentary,2967
mockumentary star,20773
star trek,30368
trek parody,33291
parody pure,23342
pure comedy,25450
comedy based,5699
based star,2502
trek legend,33289
legend excellent,18065
excellent actors,10102
actors absolutely,680
absolutely brilliant,354
brilliant production,3818
beautifully,2654
crafted,6607
letter,18147
sf,28903
fans,10792
sorts,29902
perfectly,23694
written,36039
right,26967
goshwow,13631
work,35717
hell,14797
spots,30239
beautifully crafted,2657
crafted film,6609
film galaxy,11466
quest love,25551
love letter,19224
letter sf,18148
sf fans,28904
fans sorts,10802
sorts characters,29903
characters perfectly,4874
perfectly drawn,23698
drawn story,8840
story written,30837
written right,36050
right goshwow,26980
goshwow make,13632
make thing,19578
thing work,32356
work perfectly,35751
perfectly funny,23702
funny hell,12648
hell right,14806
right spots,27006
long,18920
ago,1113
space,29976
mistaken,20735
real,25903
deal,7254
actual,751
aliens,1237
ingenious,16037
notch,22415
hit,15047
nail,21917
head,14650
allen,1253
natural,21979
jason,16622
nesmith,22146
role,27189
don,8612
worry,35865
superb,31344
twist,33646
old,22744
vs,34603
evil,10010
concept,6045
ideas,15674
unique,33910
want,34707
disappointed,8198
delivers,7478
goods,13604
warp,34855
speed,30078
thing makes,32336
makes good,19609
good movie,13544
movie good,21234
good great,13513
great story,13863
story idea,30751
idea actors,15649
actors long,709
long ago,18921
ago space,1120
space series,29982
series mistaken,28729
mistaken real,20737
real deal,25911
deal actual,7255
actual aliens,752
aliens ingenious,1239
ingenious notch,16039
notch cast,22417
cast hit,4478
hit nail,15054
nail head,21919
head tim,14660
tim allen,32721
allen natural,1256
natural jason,21981
jason nesmith,16626
nesmith role,22147
role great,27207
cast don,4469
don work,8673
work worry,35766
worry superb,35867
superb movie,31351
movie excellent,21182
excellent twist,10135
twist old,33649
old good,22766
good vs,13595
vs evil,34605
evil concept,10013
concept movies,6052
movies ideas,21644
ideas unique,15684
unique want,33922
want love,34733
