,0
dictionary,24714
american,4365
tv,102603
jargon,51344
featured,34675
phrase,73178
jumped,52251
shark,88448
dictionary american,24715
american tv,4424
tv jargon,102655
jargon featured,51346
featured phrase,34679
phrase jumped,73179
jumped shark,52256
law,55194
order,70026
special,91837
victims,105249
unit,103732
truly,102024
ensemble,30498
excellent,31934
week,108113
focus,37471
character,15086
best,9145
episodes,31040
munch,66429
centric,14588
ones,69694
showing,89015
case,13981
beginning,8603
end,29751
law order,55207
order special,70065
special victims,91876
victims unit,105257
unit truly,103739
truly ensemble,102045
ensemble excellent,30502
excellent week,32006
week focus,108125
focus character,37476
character best,15108
best episodes,9199
episodes munch,31094
munch centric,66430
centric ones,14591
ones showing,69727
showing case,89023
case beginning,13983
beginning end,8616
rubbish,83489
film,35537
surprisingly,96195
good,41447
favourite,34574
romantic,83189
comedy,18113
world,110007
personally,72940
think,98721
love,59340
actually,2397
weddings,108091
funeral,39037
better,9396
thanks,98157
strong,94535
performances,72621
fresh,38485
script,86030
look,58647
laugh,54978
loud,59284
funny,39089
notting,68561
hill,45978
nonetheless,68301
warm,106688
charming,15804
insightful,49683
anna,4847
says,84990
just,52319
girl,40470
standing,92686
boy,11402
waiting,106105
cringe,21447
worthy,110407
people,72030
matter,61817
clichéd,17258
shows,89086
vulnerable,106005
based,7960
revolved,82085
unequal,103493
social,90922
william,108797
diffident,25321
unsuccessful,104028
complete,18864
opposite,69951
photography,73166
fabulous,33086
direction,25518
hugh,47525
grant,42298
julia,52193
roberts,82802
positively,75232
luminous,59909
chemistry,16018
supporting,95807
performers,72684
rhys,82148
ifans,48249
stands,92702
zany,111667
turn,102457
spike,92062
music,66536
lovely,59677
pleasant,74189
yeah,111051
ending,29961
predictable,75727
written,110784
quite,78096
irresistible,50803
10,13
bethany,9370
cox,20845
film surprisingly,36302
surprisingly good,96205
good favourite,41559
favourite romantic,34587
romantic comedy,83192
comedy world,18280
world personally,110108
personally think,72953
think love,98862
love actually,59346
actually weddings,2553
weddings funeral,108092
funeral better,39039
better good,9467
good film,41561
film thanks,36319
thanks strong,98183
strong performances,94568
performances fresh,72648
fresh script,38511
script film,86066
film look,36003
look laugh,58693
laugh loud,55013
loud funny,59293
funny notting,39218
notting hill,68562
hill nonetheless,45985
nonetheless warm,68308
warm charming,106690
charming script,15824
script fresh,86069
fresh funny,38496
funny insightful,39173
insightful anna,49684
anna says,4859
says just,84997
just girl,52522
girl standing,40560
standing boy,92688
boy waiting,11454
waiting love,106126
love cringe,59400
cringe worthy,21451
worthy people,110423
people matter,72229
matter clichéd,61827
clichéd shows,17269
shows vulnerable,89237
vulnerable anna,106006
anna character,4851
character film,15174
film based,35609
based love,8010
love revolved,59531
revolved unequal,82086
unequal social,103494
social standing,90942
standing william,92694
william diffident,108799
diffident unsuccessful,25322
unsuccessful anna,104029
anna complete,4852
complete opposite,18884
opposite photography,69958
photography fabulous,73170
fabulous direction,33088
direction excellent,25538
excellent hugh,31971
hugh grant,47529
grant charming,42300
charming william,15829
william julia,108805
julia roberts,52196
roberts positively,82809
positively luminous,75233
luminous anna,59910
anna strong,4860
strong chemistry,94544
chemistry supporting,16063
supporting performers,95814
performers rhys,72689
rhys ifans,82149
ifans stands,48253
stands zany,92715
zany turn,111669
turn spike,102492
spike music,92064
music lovely,66579
lovely warm,59694
charming pleasant,15821
pleasant yeah,74198
yeah ending,111055
ending predictable,30012
predictable written,75776
written quite,110828
quite irresistible,78152
irresistible film,50805
film 10,35538
10 bethany,27
bethany cox,9371
nice,67864
movie,64957
thought,99144
fall,33572
man,60925
cool,20109
important,48718
famous,33827
rich,82168
like,56684
beautiful,8353
roll,83086
friend,38552
played,73966
type,102875
person,72810
interesting,50210
watch,106948
action,1937
wonderful,109483
place,73650
visited,105745
enjoyed,30359
watching,107336
seeing,86598
view,105343
story,93852
heart,45104
warming,106703
nice movie,67905
movie thought,65890
thought good,99202
good fall,41554
fall love,33592
love man,59495
man hugh,60989
grant cool,42302
cool important,20140
important fall,48730
love famous,59440
famous rich,33848
rich people,82187
people like,72212
like julia,57009
roberts movie,82808
movie beautiful,65049
beautiful good,8374
good roll,41716
roll rhys,83097
ifans nice,48251
nice funny,67884
funny man,39201
man movie,61029
movie good,65357
good friend,41574
friend hugh,38586
grant played,42304
played important,74007
important roll,48748
roll like,83095
like type,57286
type person,102896
person interesting,72836
interesting watch,50316
watch funny,107024
funny action,39093
action notting,2015
hill wonderful,45991
wonderful place,109520
place think,73717
think visited,98974
visited enjoyed,105746
enjoyed watching,30431
watching movie,107453
movie seeing,65761
seeing view,86676
view notting,105371
hill story,45988
story movie,94076
movie interesting,65447
interesting heart,50258
heart warming,45161
say,84708
the_void,98218
really,79369
sums,95582
amazing,4219
library,56234
reviews,81983
helpful,45511
link,57736
http,47464
www,110988
imdb,48507
com,17865
user,104350
ur2248099,104184
comments,18504
date,22423
start,92923
review,81853
definitely,23383
precedence,75647
probably,76498
lot,59101
write,110577
chance,14861
liked,57340
opinions,69907
come,17922
masterpiece,61662
say the_void,84904
the_void really,98219
really sums,79635
sums amazing,95583
amazing film,4238
film library,35988
library reviews,56237
reviews helpful,82007
helpful link,45514
link http,57740
http www,47465
www imdb,110989
imdb com,48516
com user,17877
user ur2248099,104355
ur2248099 comments,104185
comments order,18522
order date,70037
date start,22446
start review,92993
review definitely,81870
definitely precedence,23429
precedence reviews,75648
reviews film,82003
film probably,36139
probably lot,76555
lot write,59233
write review,110599
review chance,81863
chance liked,14897
liked opinions,57390
opinions come,69908
come thought,18038
thought masterpiece,99241
cruel,21675
intentions,50147
seriously,87750
gives,40755
chills,16323
time,99691
bold,10667
daring,22319
downright,27378
chilling,16315
main,60240
thing,98434
dug,28179
relationships,80621
manipulation,61220
benefits,9061
sebastian,86417
used,104287
getting,40247
way,107628
uses,104362
woman,109234
sleep,90373
manipulates,61216
hell,45372
sister,89922
kathryn,52993
don,27008
know,53926
affected,3156
comes,18288
annette,4876
figures,35484
little,57880
toy,101123
personal,72882
trophy,101903
speak,91792
loved,59593
relationship,80569
adored,2921
arrogant,5809
young,111481
charmer,15802
loves,59711
mess,62988
progresses,76975
real,79076
isn,50922
fun,38911
genuine,40042
laughter,55139
got,41951
amusement,4493
gave,39690
cruel intentions,21677
intentions seriously,50150
seriously movie,87773
movie gives,65350
gives chills,40764
chills time,16328
time watch,100063
watch bold,106971
bold daring,10668
daring downright,22321
downright chilling,27382
chilling main,16317
main thing,60279
thing dug,98477
dug cruel,28181
intentions relationships,50149
relationships manipulation,80631
manipulation benefits,61221
benefits sebastian,9065
sebastian used,86423
used getting,104309
getting way,40320
way uses,107888
uses woman,104378
woman sleep,109287
sleep manipulates,90382
manipulates people,61217
people hell,72174
hell sister,45407
sister kathryn,89936
kathryn don,52996
don know,27094
know start,54100
start movie,92974
movie sebastian,65759
sebastian affected,86419
affected kathryn,3159
kathryn comes,52995
comes annette,18293
annette sebastian,4878
sebastian figures,86421
figures little,35487
little toy,58045
toy personal,101128
personal trophy,72912
trophy speak,101904
speak loved,91798
loved relationship,59650
relationship kathryn,80603
kathryn sebastian,52997
sebastian adored,86418
adored annette,2922
sebastian arrogant,86420
arrogant young,5813
young charmer,111492
charmer loves,15803
loves mess,59730
mess people,62999
people movie,72236
movie progresses,65664
progresses real,76979
real start,79190
start come,92939
come thanks,18037
thanks annette,98160
sebastian isn,86422
isn used,51028
used fun,104307
fun used,39017
used genuine,104308
genuine laughter,40052
laughter laughter,55151
laughter got,55150
got amusement,41958
amusement annette,4494
annette gave,4877
