,0
law,60618
order,77147
special,100767
victims,115125
unit,113593
best,9718
underrated,113122
shows,97848
tv,112453
stars,101818
christopher,17870
meloni,68753
elliot,32117
stabler,101492
tough,110684
nails,73769
detective,26939
makes,66514
hatred,49015
pedophiles,79259
child,17359
molesters,70557
known,59597
times,109781
vicious,115116
criminal,23358
intent,55154
robert,91022
goren,46099
vincent,115522
onofrio,76860
lacks,59929
pleased,81850
nominated,75303
emmy,32259
mariska,67399
hargitay,48759
won,119640
performance,79924
olivia,76772
benson,9648
fantastic,37109
edge,31538
ci,17944
alex,3868
eames,31194
kathrine,58166
erbe,33952
revered,90106
ability,1072
communicate,20291
troubled,111725
witnesses,119421
gouge,46341
confessions,21019
suspects,105740
life,61760
danger,24420
twice,112538
season,94953
continues,21637
strong,103692
sarcastic,92754
jon,57088
munch,73301
played,81536
excellent,34797
comedian,19663
richard,90427
belzer,9568
annoying,5069
relate,88504
plays,81745
good,45592
cop,22022
bad,7754
role,91217
final,40191
finn,40486
tutuola,112449
rapper,86446
ice,52881
character,16195
reasonably,87667
think,108290
like,62184
meaner,68419
episodes,33843
entitled,33687
rage,86213
rooftop,91623
led,61070
don,29804
cragen,22762
dann,24472
florek,41033
captain,14499
reprises,89487
held,49752
years,121543
adam,2612
beach,8710
recently,87836
joined,56959
bringing,12826
new,74586
table,106105
youth,121975
surfer,105439
dude,30795
approach,5646
work,120045
ada,2609
casey,15107
novak,75616
diane,27273
neal,74099
better,9992
gets,44215
job,56680
late,60227
contrast,21696
predecessor,83464
really,87252
helpful,49958
alexandra,3901
cabot,13906
stephanie,102315
march,67331
great,46621
team,106793
aided,3645
fbi,37728
psychiatrist,85153
george,44114
huang,52225
bd,8705
wong,119886
aids,3652
finding,40318
true,111762
horrors,51833
person,80259
witness,119404
suspect,105719
episode,33796
called,14027
coerced,19165
members,68780
investigate,55609
sexually,96893
based,8347
crimes,23347
rape,86420
homicide,51292
school,94101
shootings,97504
abuse,1336
molestation,70551
extraordinary,35874
guest,47563
evil,34519
