,0
law,51767
order,65883
shows,83694
realistic,74577
cast,13118
changes,13904
old,65300
benson,8447
stabler,86896
running,78762
grab,39578
wrong,103935
person,68351
looks,55223
like,53096
smells,85130
rotten,78462
fish,34693
roughs,78495
suspect,90503
catch,13308
15,181
minutes,59820
real,74427
strikes,88735
stands,87085
slack,84721
jawed,48164
tongue,94594
poking,70206
mouth,61032
insulted,46865
arrested,5287
law order,51777
order shows,65916
shows realistic,83774
realistic cast,74582
cast changes,13136
changes old,13913
old old,65412
old benson,65315
benson stabler,8449
stabler running,86899
running grab,78774
grab wrong,39582
wrong person,103993
person benson,68357
benson looks,8448
looks like,55248
like smells,53618
smells rotten,85131
rotten fish,78464
fish stabler,34700
stabler roughs,86898
roughs suspect,78496
suspect catch,90505
catch wrong,13335
person 15,68352
15 minutes,185
minutes real,59870
real person,74503
person strikes,68402
strikes benson,88736
benson stands,8450
stands slack,87093
slack jawed,84723
jawed tongue,48165
tongue poking,94598
poking mouth,70208
mouth stabler,61042
stabler looks,86897
looks insulted,55245
insulted arrested,46866
arrested wrong,5290
notting,64515
hill,43107
1999,375
directed,23938
roger,78055
michell,59316
showpiece,83692
julia,48951
roberts,77897
london,54818
hugh,44508
grant,39671
pretty,71506
good,38906
notting hill,64516
hill 1999,43108
1999 directed,380
directed roger,23961
roger michell,78062
michell showpiece,59317
showpiece julia,83693
julia roberts,48952
roberts london,77901
london hugh,54829
hugh grant,44509
grant pretty,39673
pretty good,71547
started,87358
promising,72422
40,695
slid,84859
downhill,25716
fast,32059
typical,96761
modern,60317
day,21252
film,33258
clichés,16002
hear,42140
romance,78225
comedy,16882
customary,20642
excused,30023
promiscuous,72396
behavior,8082
overdone,66435
sex,82766
jokes,48650
excessive,29919
profanity,72217
intentions,47025
male,57081
fault,32197
female,32785
politically,70290
correct,19083
world,103224
entertainment,28636
started promising,87388
promising good,72427
good 40,38909
40 minutes,700
minutes slid,59879
slid downhill,84860
downhill fast,25717
fast typical,32095
typical modern,96781
modern day,60326
day film,21285
film clichés,33383
clichés hear,16008
hear romance,42155
romance comedy,78230
comedy customary,16914
customary excused,20644
excused promiscuous,30024
promiscuous behavior,72397
behavior overdone,8088
overdone sex,66443
sex jokes,82783
jokes excessive,48666
excessive profanity,29920
profanity wrong,72221
wrong intentions,103973
intentions male,47028
male fault,57088
fault female,32200
female politically,32798
politically correct,70291
correct world,19095
world entertainment,103262
funny,36599
saw,79493
crappy,19707
uncomfortable,97035
snl,85324
appearance,4857
just,49064
woman,102546
hating,41825
selfish,81870
asshole,5677
got,39370
comeuppance,17136
jerry,48274
lawler,51780
broke,11286
neck,63346
kaufman,49680
thought,93192
lie,52726
people,67640
upset,97934
joke,48604
professional,72229
wrestling,103689
does,24934
knows,50903
movie,61098
dull,26405
painful,66779
watch,100455
cable,12060
guy,40631
interesting,47081
reactions,74265
taxi,91395
stars,87229
tony,94634
bs,11547
basically,7493
incredulous,46138
faces,30924
piece,68879
crap,19664
hour,44227
half,40904
jim,48330
carey,12778
masturbating,57968
loser,55338
memory,58811
10,24
funny saw,36754
saw crappy,79520
crappy uncomfortable,19715
uncomfortable snl,97045
snl appearance,85326
appearance just,4865
just woman,49577
woman hating,102571
hating selfish,41831
selfish asshole,81872
asshole got,5678
got comeuppance,39397
comeuppance jerry,17137
jerry lawler,48276
lawler broke,51781
broke neck,11290
neck kaufman,63347
kaufman thought,49682
thought funny,93251
funny lie,36696
lie people,52731
people upset,67913
upset just,97938
just joke,49311
joke professional,48623
professional wrestling,72240
wrestling does,103691
does knows,25036
knows kaufman,50917
kaufman funny,49681
funny movie,36712
movie dull,61381
dull painful,26423
painful watch,66788
watch cable,100483
cable guy,12063
guy interesting,40674
interesting reactions,47152
reactions taxi,74269
taxi stars,91399
stars tony,87268
tony bs,94636
bs basically,11548
basically incredulous,7507
incredulous insulted,46139
insulted faces,46867
faces watch,30943
watch piece,100597
piece crap,68895
crap film,19676
film just,33638
just hour,49294
hour half,44246
half jim,40922
jim carey,48333
carey masturbating,12781
masturbating loser,57969
loser memory,55345
memory 10,58812
east,26885
boring,10307
english,28170
lesson,52411
thoughts,93345
heard,42161
topic,94713
class,15703
deal,21548
absolutely,1131
case,13001
great,39751
enrichment,28481
viewer,98974
stuff,88990
east east,26891
east boring,26887
boring film,10322
film watch,34056
watch english,100514
english lesson,28185
lesson thoughts,52417
thoughts heard,93348
heard film,42179
film topic,33992
topic english,94715
english class,28175
class deal,15712
deal absolutely,21549
absolutely case,1142
case film,13019
film great,33569
great enrichment,39836
enrichment viewer,28482
viewer boring,98976
boring stuff,10360
refreshing,75643
inventive,47446
family,31394
story,88114
directly,24039
scene,80063
different,23704
religions,76046
opposing,65812
views,99083
life,52763
children,15038
view,98933
conservative,18290
father,32129
clash,15698
way,101018
telling,91886
problems,72008
shown,83659
graveness,39737
represents,76506
member,58725
pakistani,66836
individual,46241
relations,75869
siblings,83888
mother,60927
problematic,72004
relation,75863
incorrigible,46055
gets,37668
impression,45798
culture,20525
recognize,75306
lot,55446
aspects,5583
aimed,3273
makers,56825
brought,11422
personal,68421
experiences,30430
evening,29432
filling,33250
east refreshing,26894
refreshing inventive,75652
inventive family,47448
family story,31487
story directly,88197
directly scene,24045
scene different,80089
different religions,23760
religions opposing,76047
opposing views,65814
views life,99087
life children,52795
children view,15092
view conservative,98937
conservative father,18292
father clash,32136
clash funny,15699
funny way,36804
way telling,101240
telling typical,91901
