,0
normally,67434
really,78391
like,55994
disney,25632
films,36053
just,51760
don,26390
trust,100920
quite,77141
enjoyed,29699
toy,99936
story,92715
hidden,45158
movies,65149
aura,6761
sickness,88290
surrounds,95223
kids,52759
think,97653
fine,36390
regards,79486
children,15690
feel,34423
lot,58452
bad,7453
influence,48926
coming,17772
normally really,67442
really like,78556
like disney,56162
disney films,25658
films just,36124
just don,51874
don trust,26528
trust quite,100930
quite enjoyed,77177
enjoyed toy,29754
toy story,99945
story hidden,92882
hidden disney,45160
disney movies,25671
movies just,65256
just aura,51787
aura sickness,6762
sickness surrounds,88292
surrounds kids,95224
kids movies,52812
movies think,65353
think fine,97728
fine regards,36420
regards disney,79488
movies children,65183
children feel,15706
feel lot,34498
lot bad,58464
bad influence,7532
influence coming,48927
considered,18852
rare,77620
sequel,86192
actually,2463
managed,60544
meet,61748
expectations,31865
set,86841
original,69125
film,35201
critics,20798
better,9264
say,83665
response,80640
statements,92036
definitely,22755
agree,3571
meets,61774
wouldn,108999
far,33756
consider,18825
1995,408
landmark,54066
animated,4763
feature,34345
said,83092
plenty,73143
special,90779
things,97517
make,59784
kind,53000
ll,57614
rarely,77643
come,17318
day,21887
story considered,92780
considered rare,18867
rare sequel,77639
sequel actually,86193
actually managed,2549
managed meet,60552
meet expectations,61753
expectations set,31911
set original,86896
original film,69165
film critics,35360
critics think,20835
think better,97677
better say,9392
say response,83811
response statements,80652
statements definitely,92037
definitely agree,22758
agree toy,3595
story meets,92947
meets expectations,61781
expectations original,31906
original wouldn,69250
wouldn far,109018
far consider,33775
consider better,18827
better original,9370
original 1995,69127
1995 landmark,413
landmark animated,54067
animated feature,4769
feature said,34364
said plenty,83141
plenty special,73168
special things,90815
things toy,97640
story make,92940
make kind,59891
kind sequel,53084
sequel ll,86227
ll rarely,57665
rarely come,77646
come day,17346
hour,46644
spent,90970
lives,57505
heart,44535
woody,108255
gang,39012
best,9051
sequels,86253
pixar,72526
interesting,49686
originally,69257
direct,24923
video,104041
movie,64246
process,75630
making,60184
realized,78367
good,40943
turning,101304
decided,22477
theatrical,97250
thank,97108
goodness,41356
saw,83550
continue,19121
awful,7256
cycle,21324
folks,37133
didn,24437
want,105071
drop,27370
version,103870
brand,11276
new,66732
release,79794
wanted,105214
pressure,75022
save,83484
money,63635
sensing,86105
impending,48122
doom,26577
know,53349
resort,80555
john,51209
lasseter,54208
called,12575
long,57876
overdue,69630
vacation,103408
fix,36626
time,98560
rushed,82841
messy,62284
nerve,66627
wracking,109109
god,40489
did,24225
pay,70740
end,29081
knew,53252
partially,70288
lead,54661
fall,33067
years,109849
later,54269
anyways,5154
idea,47523
opening,68801
instead,49323
game,38945
tv,101369
makers,60022
scrap,84636
open,68762
play,72821
action,1905
andy,4646
establish,30909
bond,10510
bring,11646
impression,48306
early,27879
2000,456
n64,65917
playstation,73095
couldn,19750
toys,99951
room,82362
witness,107796
tom,99429
hanks,43485
getting,39731
stolen,92508
collector,17155
al,3794
wayne,106732
knight,53304
buzz,12482
lightyear,55968
tim,98550
allen,4001
sent,86131
rescue,80426
mission,63175
penthouse,70939
finds,36367
value,103470
thinks,97965
display,25715
museum,65633
roundup,82525
pals,70065
jessie,50928
joan,51029
cusack,21209
stinky,92474
pete,71913
kelsey,52563
grammar,41758
reasons,78822
knows,53650
deep,22634
inside,49150
grow,42617
forget,37491
dilemma,24844
makes,60037
sense,85984
way,106446
foreshadowing,37461
forgotten,37551
friends,38172
loved,58999
forever,37471
takes,95729
chance,14290
japan,50730
old,68475
characters,14854
mr,65415
potato,74339
head,44321
rickles,81383
hamm,43292
ratzenberger,77799
rex,81297
wallace,104986
shawn,87450
slinky,89318
dog,26240
jim,50970
varney,103625
bulleye,12249
weezy,106988
forced,37376
feed,34412
character,14541
came,12667
check,15438
scene,84082
fixed,36640
repairman,80229
notice,67610
short,87724
geri,39596
acting,1709
pretty,75079
bit,9759
annoying,4928
written,109426
dramatic,27045
emotional,28883
gotten,41639
highlight,45274
jesse,50919
tears,96310
montage,63790
told,99350
songs,90172
history,45578
somebody,90038
love,58723
sung,94568
sarah,83331
mclachlan,61487
huge,46907
randy,77508
newman,66936
fan,33421
song,90151
works,108552
humors,47219
mocks,63342
shows,88025
star,91639
wars,105501
howdy,46866
dowdy,26737
pop,73906
culture,21078
references,79325
allow,4042
adults,3103
jokes,51341
miss,63077
blast,10069
watching,106138
adventure,3155
plot,73186
oriented,69114
fun,38402
visuals,104585
break,11342
taking,95794
challenging,14271
eyes,32493
liked,56696
secret,85398
villain,104293
certainly,14135
thought,98061
motivation,64106
kinda,53098
sorry,90336
fact,32682
played,72890
gave,39202
different,24646
psychology,76433
closest,16858
thing,97385
felt,34725
course,19970
going,40635
isn,50354
sympathy,95575
wanting,105287
return,80832
toddlers,99334
let,55299
straight,93226
parent,70181
child,15629
mature,61270
aged,3430
point,73512
deemed,22625
right,81524
watch,105692
large,54145
noises,67274
yelling,109985
visual,104558
effects,28316
hurt,47326
toddler,99332
pg,71956
rating,77717
people,70943
wrong,109528
great,41937
haven,44140
hour spent,46680
spent lives,90983
lives heart,57525
heart woody,44584
woody gang,108260
gang best,39014
best sequels,9196
sequels pixar,86265
pixar toy,72534
story interesting,92901
interesting film,49729
film originally,35686
originally direct,69263
direct video,24936
video movie,104055
movie process,64854
process making,75634
making realized,60250
realized good,78372
good turning,41314
turning decided,101306
decided make,22499
make theatrical,59988
theatrical movie,97254
movie thank,65035
thank goodness,97113
goodness pixar,41358
pixar saw,72533
saw continue,83571
continue disney,19130
disney awful,25638
awful sequels,7302
sequels cycle,86257
cycle pixar,21325
pixar folks,72530
folks didn,37137
didn want,24556
want drop,105110
drop direct,27373
video version,104063
version make,103901
make brand,59807
brand new,11280
new story,66872
story theatrical,93067
theatrical release,97257
release wanted,79809
wanted pressure,105268
pressure disney,75023
disney direct,25649
video save,104057
save money,83504
money pixar,63689
folks sensing,37141
sensing impending,86106
impending doom,48123
doom didn,26579
didn know,24496
know resort,53514
resort john,80557
john lasseter,51226
lasseter called,54209
called long,12600
long overdue,57955
overdue vacation,69632
vacation fix,103412
fix movie,36633
movie time,65048
time release,98861
release process,79807
process rushed,75638
rushed messy,82850
messy nerve,62286
nerve wracking,66630
wracking god,109110
god did,40500
did pay,24369
pay end,70747
end knew,29155
knew toy,53292
story partially,92972
partially lead,70290
lead disney,54673
disney fall,25654
fall pixar,33090
pixar years,72535
years later,109905
later anyways,54272
anyways idea,5157
idea opening,47581
opening film,68810
film original,35685
original idea,69176
opening toy,68825
