,0
started,92998
liking,57210
season,85917
idiotic,48100
warpath,106832
religion,80619
ridiculous,82320
lines,57444
plots,74203
started liking,93037
liking season,57221
season started,86142
started idiotic,93031
idiotic warpath,48109
warpath religion,106833
religion ridiculous,80627
ridiculous lines,82346
lines plots,57504
like,56360
character,15000
olivia,69403
benson,9148
charge,15780
svu,96457
good,41401
strictly,94494
females,35471
time,99727
far,34461
victims,105234
doesn,26836
trust,102172
totally,100886
rollins,83085
maybe,61949
sees,86763
threat,99354
hears,44905
sides,89386
males,60867
need,67071
bring,11959
somebody,91160
bust,12786
just,52094
detective,24403
latest,54746
episode,30924
fence,35490
victim,105226
liked,57095
guy,43326
seen,86576
telling,97803
cousin,20808
hot,47011
bathroom,8210
scene,85028
witnesses,109374
party,71278
said,83996
went,108539
outside,70270
think,98794
warrants,106844
rape,78318
makes,60574
sound,91578
sex,88071
ask,5934
permission,72509
wait,106095
firm,37011
definitive,23520
yes,111754
wife,108911
girlfriend,40532
whomever,108865
way,107880
point,74291
wrong,111260
says,84868
fighting,35737
perp,72513
care,13517
female,35438
saying,84806
forces,37848
like character,56456
character olivia,15214
olivia benson,69405
benson charge,9149
charge svu,15790
svu good,96459
good strictly,41720
strictly females,94495
females time,35473
time far,99843
far victims,34579
victims doesn,105235
doesn trust,26929
trust totally,102190
totally rollins,100935
rollins maybe,83086
maybe sees,62027
sees threat,86773
threat rollins,99361
rollins sees,83087
sees hears,86769
hears sides,44909
sides males,89393
males females,60870
females need,35472
need bring,67083
bring somebody,11997
somebody charge,91161
svu bust,96458
bust benson,12787
benson just,9150
just detective,52228
detective latest,24415
latest episode,54750
episode fence,31007
fence fence,35491
fence victim,35493
victim liked,105229
liked guy,57117
guy seen,43420
seen telling,86727
telling cousin,97808
cousin hot,20816
hot bathroom,47015
bathroom scene,8211
scene witnesses,85154
witnesses party,109379
party said,71293
said went,84091
went outside,108582
outside think,70290
think warrants,99047
warrants rape,106846
rape episode,78320
episode benson,30949
benson makes,9151
makes sound,60695
sound like,91592
like sex,56929
sex time,88127
time ask,99749
ask permission,5949
permission wait,72510
wait firm,106116
firm definitive,37012
definitive yes,23522
yes wife,111850
wife girlfriend,108934
girlfriend whomever,40555
whomever way,108867
way point,108052
point wrong,74387
wrong rape,111319
rape somebody,78327
somebody says,91171
says fighting,84878
fighting time,35760
time perp,99986
perp doesn,72514
doesn care,26853
care female,13544
female saying,35464
saying forces,84824
satisfying,84348
bond,10730
adventure,3038
delivers,23639
people,71784
expect,32644
film,35890
new,67468
things,98655
satisfying bond,84349
bond adventure,10731
adventure delivers,3041
delivers people,23650
people expect,71884
expect bond,32649
bond film,10737
film new,36269
new things,67645
toy,101089
story,93807
1999,392
dir,25545
john,51543
lasseter,54623
ash,5879
brennon,11783
colin,17801
brody,12158
voices,105926
tom,100591
hanks,43849
tim,99712
allen,3883
joan,51377
cusack,22024
kelsey,52898
grammar,42224
wayne,108153
knight,53706
wonderful,109726
sequel,87173
better,9408
landmark,54472
flourishes,37402
originality,70084
woody,109890
cowboy,20875
doll,27057
space,91707
ranger,78278
buzz,12860
lightyear,56330
return,81624
central,14420
toys,101094
anticipates,4981
camp,13226
owner,70602
andy,4546
