,0
just,48012
finished,34098
watching,97949
turmoil,93533
aghast,2991
drummed,25857
iad,44195
squad,84499
lost,54063
detectives,22340
bad,6573
behavior,7793
stabler,84546
especially,28883
continues,18023
lose,54004
mind,58075
manner,56037
control,18111
situation,82390
make,55222
terrible,89593
judgment,47888
calls,11765
basically,7203
ticking,91118
time,91189
bomb,9495
week,98660
figure,32731
write,100923
kind,49127
dialogue,22593
appropriate,4885
job,47396
calling,11753
child,14553
rapists,72133
scumbags,78942
went,98798
way,98205
nypd,63013
blue,9332
grossly,39554
inadequate,45067
stop,85647
nominating,62518
mariska,56145
hartigay,40914
emmys,27251
golden,38141
globes,37752
got,38669
expression,30262
uses,95323
confused,17575
evidence,29222
taking,88564
witness,99579
statement,85125
placating,67460
el,26918
gone,38163
deep,21324
end,27440
don,24941
know,49427
continue,17998
watch,97610
freaking,35460
csi,19812
miami,57754
straight,86226
parody,65349
just finished,48161
finished watching,34103
watching turmoil,98101
turmoil aghast,93534
aghast drummed,2992
drummed iad,25858
iad squad,44196
squad lost,84502
lost detectives,54076
detectives bad,22341
bad behavior,6585
behavior stabler,7801
stabler especially,84547
especially continues,28904
continues lose,18031
lose mind,54015
mind manner,58130
manner control,56039
control situation,18129
situation make,82404
make terrible,55398
terrible judgment,89617
judgment calls,47890
calls basically,11768
basically ticking,7238
ticking time,91119
time bomb,91216
bomb week,9506
week figure,98675
figure write,32755
write kind,100940
kind dialogue,49138
dialogue appropriate,22595
appropriate job,4888
job calling,47407
calling child,11754
child rapists,14581
rapists scumbags,72134
scumbags went,78943
went way,98872
way nypd,98374
nypd blue,63015
blue grossly,9341
grossly inadequate,39555
inadequate stop,45069
stop nominating,85671
nominating mariska,62519
mariska hartigay,56146
hartigay emmys,40915
emmys golden,27252
golden globes,38148
globes got,37753
got expression,38708
expression uses,30267
uses confused,95331
confused evidence,17583
evidence taking,29228
taking witness,88602
witness statement,99584
statement placating,85137
placating el,67461
el gone,26919
gone deep,38167
deep end,21331
end don,27476
don know,25011
know continue,49463
continue watch,18013
watch freaking,97690
freaking gone,35461
gone way,38191
way csi,98255
csi miami,19821
miami straight,57761
straight parody,86243
svu,88180
far,31514
worst,100618
franchise,35346
shows,81570
appear,4711
tv,93702
network,61964
language,50154
svu far,88181
far worst,31636
worst franchise,100637
franchise worst,35378
worst shows,100657
shows appear,81580
appear tv,4730
tv network,93762
network language,61969
boondock,9807
saints,77125
released,74123
1999,422
ushered,95344
fan,31176
base,7085
possessing,69001
cinematic,15061
principles,70099
rivaling,75867
godfather,37834
iii,44512
supporters,87590
boondock saints,9808
saints released,77127
released 1999,74124
1999 ushered,426
ushered fan,95345
fan base,31184
base possessing,7095
possessing cinematic,69002
cinematic principles,15074
principles rivaling,70100
rivaling godfather,75868
godfather iii,37839
iii supporters,44515
viewers,96185
probably,70190
feel,32104
