,0
director,28205
tim,109008
burton,14064
elaborate,31870
washington,116749
irving,55316
tale,105816
ichabod,52351
crane,22984
headless,48972
horseman,51421
doesn,29395
common,20475
excels,35145
gothic,45864
exercise,35344
atmosphere,6948
dark,24615
humor,51982
director tim,28322
tim burton,109010
burton elaborate,14065
elaborate washington,31872
washington irving,116757
irving tale,55319
tale ichabod,105831
ichabod crane,52352
crane headless,22985
headless horseman,48974
horseman doesn,51422
doesn common,29428
common irving,20484
irving excels,55318
excels gothic,35146
gothic exercise,45868
exercise atmosphere,35345
atmosphere dark,6957
dark humor,24652
talented,105892
mr,72228
ripley,90390
1999,534
really,86738
best,10177
crime,23490
thrillers,108717
ve,114696
seen,94670
film,39110
set,95996
late,59588
1950,396
centers,15835
tom,109917
man,66380
gets,43794
hired,50165
jude,56660
law,59933
father,37831
italy,55599
persuade,79656
come,19743
america,4819
does,29209
know,58655
fiancé,38822
gwenyth,47482
paltrow,77535
things,107783
different,27736
turn,111999
plot,80965
movie,70846
layered,59990
makes,66076
great,46182
thing,107603
sure,104704
like,61555
love,64643
acting,2070
actors,2611
coming,20303
big,10715
hits,50393
came,14388
cast,15335
members,68135
abilities,1338
showcased,97232
matt,67341
damon,24429
absolutely,1492
fabulous,36350
probably,83431
performance,79132
career,14967
good,45181
loved,64964
dramatic,30402
scenes,93025
thought,108397
nailed,72864
cate,15638
blanchett,11399
roles,90817
honesty,50934
think,107950
deserved,26542
academy,1663
award,7716
nomination,74423
did,27311
writing,121241
elevates,32009
pulls,84641
overall,76929
100,110
recommend,87461
10,21
talented mr,105911
mr ripley,72245
ripley 1999,90391
1999 really,539
really best,86760
best crime,10223
crime thrillers,23524
thrillers ve,108728
ve seen,114781
seen film,94730
film set,39695
set late,96060
late 1950,59590
1950 centers,397
centers tom,15841
tom ripley,109939
ripley man,90395
man gets,66450
gets hired,43833
hired jude,50172
jude law,56661
law father,59945
father italy,37870
italy persuade,55605
persuade come,79657
come america,19748
america does,4829
does gets,29278
gets know,43845
know fiancé,58746
fiancé gwenyth,38823
gwenyth paltrow,47483
paltrow things,77537
things different,107816
different turn,27847
turn plot,112039
plot movie,81109
movie layered,71370
layered things,59994
things makes,107880
makes great,66126
great thing,46481
thing sure,107752
sure like,104779
like crime,61700
thrillers sure,108725
sure love,104784
love acting,64654
acting great,2173
great movie,46365
movie actors,70873
actors coming,2637
coming big,20309
big hits,10759
hits movie,50404
movie came,70974
came cast,14397
cast members,15434
members great,68145
great acting,46187
acting abilities,2071
abilities showcased,1343
showcased matt,97234
matt damon,67346
damon absolutely,24430
absolutely fabulous,1517
fabulous probably,36361
probably best,83436
best performance,10309
performance ve,79231
seen career,94696
career paltrow,14986
paltrow performance,77536
performance good,79171
good loved,45393
loved dramatic,64994
dramatic scenes,30422
scenes really,93147
really thought,87054
thought nailed,108500
nailed jude,72868
law cate,59937
cate blanchett,15639
blanchett good,11401
good roles,45468
roles honesty,90833
honesty think,50940
think damon,107995
damon deserved,24432
deserved academy,26543
academy award,1664
award nomination,7720
nomination law,74430
law did,59940
did writing,27547
writing movie,121296
movie elevates,71124
elevates really,32010
really pulls,86977
pulls overall,84648
overall 100,76931
100 recommend,126
recommend film,87471
film film,39373
film 10,39111
10 10,23
singular,98164
act,1984
borrowing,12364
princeton,83362
jacket,55690
play,80599
piano,79947
place,80337
injured,53943
friend,42122
high,49872
class,18660
outdoor,76774
function,42559
catalyst,15594
series,95400
life,61127
changing,16308
events,34689
lowly,65200
lavatory,59926
attendant,7119
singular act,98165
act borrowing,1988
borrowing princeton,12367
princeton jacket,83363
jacket play,55692
play piano,80633
piano place,79948
place injured,80373
injured friend,53944
friend high,42147
high class,49883
class outdoor,18684
outdoor function,76775
function catalyst,42561
catalyst series,15595
series life,95650
life changing,61160
changing events,16313
events tom,34733
ripley lowly,90394
lowly lavatory,65201
lavatory attendant,59927
bit,11002
non,74444
entity,33676
chameleon,16114
make,65833
people,78533
belongs,10021
wealthy,118180
herbert,49629
greenleaf,46629
mistakenly,69688
thinks,108282
son,99598
dickie,27287
given,44307
job,56142
return,89383
new,73828
york,122071
quickly,85249
meets,68042
girlfriend,44232
marge,66808
sherwood,96742
befriends,9595
honest,50860
believe,9848
share,96599
similar,97822
interests,54733
soon,99722
staying,101841
paid,77405
eventually,34743
writes,121233
thank,107279
work,120139
let,60784
clear,18848
failed,36678
task,106193
longer,63914
time,109018
starts,101663
tired,109627
presence,82909
strikes,103110
struggle,103258
ensues,33347
killed,58134
manages,66634
