,feature,2009
0,worst,0.007110560808100429
1,movie,0.006824149844531388
2,horrible,0.006202703728476002
3,stupid,0.00457248523365336
4,terrible,0.0043013780001638
5,film,0.004092096427650858
6,bad,0.0038859128366709552
7,waste,0.0036616224998746623
8,just,0.00360855188348053
9,wasted,0.0031579404616441293
10,supposed,0.002960952780117693
11,spoilers,0.0028874463959912295
12,role,0.002825123579794934
13,embarrassing,0.002570425548178994
14,terrible movie,0.002546545787516407
15,characters,0.0024241882008787428
16,sex,0.002421125223109763
17,oh,0.0024187417756356155
18,reason,0.0023916842523113028
19,fan,0.002376092868823564
20,point,0.002368160678149479
21,sorry,0.00233649761800225
22,overrated,0.0023107168803116955
23,best,0.0023052959715486173
24,excellent,0.0022876277023272168
25,looked,0.0022747999428971975
26,said,0.0022524152356241606
27,disappointment,0.0022476950430259128
28,start,0.0022204679756555818
29,ve,0.002211063667830788
30,badly,0.0021719283502049497
31,way,0.0021478243059348217
32,story,0.002125317054378615
33,waste time,0.0020858478617692498
34,book,0.0020517597816588976
35,star trek,0.0020500598651222767
36,fantastic,0.002004366456836906
37,dragonball,0.0019820351598216885
38,offended,0.0019689328622434334
39,ll,0.0019637090602999973
40,watched,0.0019363420508736295
41,ok,0.0019107554584445047
42,like,0.0018689182314512846
43,random,0.0018661684241731557
44,want,0.0018645646797650962
45,left,0.0017718533964446593
46,trek,0.0017699467031643567
47,maybe,0.0017464661168882338
48,god,0.0017056627278912312
49,gets,0.0017014519579240217
50,love,0.0017009792981669113
51,irritating,0.0016862662429690868
52,redeeming,0.001656239937651396
53,10,0.0016526004747510242
54,previous,0.0016508041072235944
55,second,0.001627013423162582
56,human,0.0016269471137767423
57,new,0.0015815092473276994
58,horror,0.001567025537036985
59,presentation,0.0015599755496713535
60,crap,0.001555393019961272
61,plot,0.001518738017447422
62,save,0.0015183480369087713
63,awful,0.0015083177708906676
64,effects,0.0014664073209058432
65,uhhh,0.0014643750550487888
66,poor,0.0014531157008030378
67,review,0.0014495759037713375
68,absolutely,0.0014433479481302288
69,believe,0.0014370815619291852
70,good,0.00143623407788385
71,just watched,0.0014088037317117382
72,kind,0.0014011421109652697
73,time,0.0013983875035490506
74,value,0.001372005242288683
75,boring,0.0013709391483771667
76,try,0.001346597150841767
77,minutes,0.0013309545329876164
78,looks like,0.001292577887841635
79,money,0.0012914276345455898
80,happy,0.0012681703784978623
81,writing,0.0012547165375428764
82,read,0.001249041975567362
83,hoped,0.0012314681165849883
84,seeing movie,0.001222732651869379
85,true,0.00122249847981499
86,voice,0.0012154671365348965
87,trying,0.0012087798930582535
88,couldn,0.0012058660537495978
89,terrible just,0.0012046706282256136
90,went,0.0011957153703997146
91,people sick,0.0011862628243394751
92,entire,0.001177175061789346
93,idea,0.0011718923243866745
94,generation,0.0011691411392820872
95,15,0.001166719107565889
96,beginning,0.0011625435646976175
97,banal,0.001161423101127334
98,min,0.0011520980913209515
99,don understand,0.0011436622716824182
