,feature,2005
0,worst,0.008809962774397426
1,bad,0.007304850708425711
2,awful,0.005841504974000336
3,worst film,0.004084900900460995
4,movie,0.00407411966912493
5,movie bad,0.0038670555267422595
6,minutes,0.003335230570542553
7,crap,0.00321182294961113
8,good,0.0030359173332106205
9,best,0.00297828977234861
10,supposed,0.002953789172588349
11,oh,0.0028162227478969173
12,money,0.002758952432927014
13,sucks,0.002623951628307644
14,plot,0.0025523824325214056
15,half,0.0025499997112367044
16,film,0.0025303149755172534
17,original,0.002451987007949733
18,fails,0.0023811962244455
19,unfunny,0.002347843694526116
20,waste,0.0022623554054227012
21,spoilers,0.0022357557634397522
22,spoiler,0.002188918773638968
23,terrible,0.002182466456890536
24,like,0.002173859542266115
25,rushed,0.002092727093004238
26,believe,0.0020639158033881272
27,painful,0.002022551386276282
28,worse,0.0019749574953336875
29,series,0.001969924832620114
30,looked like,0.0019654325480457273
31,travesty,0.0019548134784643846
32,life,0.0019386112217292528
33,pile,0.0018955355310076593
34,fantastic,0.0018246233442075293
35,lacks,0.0017876487889778973
36,dire,0.0017846371502488398
37,believable,0.0017833415787119355
38,user,0.0017131795949812709
39,disaster,0.001699016025073891
40,production,0.0016936094002069735
41,divorced,0.0016309784603708583
42,making,0.001629220181039356
43,generic,0.0016111491827793974
44,intelligence,0.0016003850684084893
45,obvious,0.001589680222017004
46,virtually,0.0015852531458801183
47,hated,0.0015832969694066085
48,little,0.0015735137850418108
49,owen,0.0014833058684416602
50,ask,0.0014643801281861203
51,uninteresting,0.0014447556427191995
52,contains spoilers,0.0014337090512770584
53,save,0.0014303811830863765
54,plain,0.001406758281160275
55,worst movie,0.0014040500448589395
56,sequel,0.0013911564820626142
57,pretty,0.0013757971837614932
58,awful movie,0.001372648749770097
59,sun,0.0013695084022809132
60,make sense,0.0013512571893735431
61,self,0.0013466268327946038
62,reasons,0.0013447383948182795
63,century,0.0013393290745155012
64,proper,0.0013275248578300339
65,memorable,0.0013110052191549703
66,forward,0.001309696697898545
67,mouthed,0.0013037327926069063
68,truly,0.0013005501922210279
69,attempt,0.0012941515684855975
70,cartoonish,0.0012737149332598921
71,script unbelievably,0.0012734360906299857
72,thrown,0.001268693435093763
73,lava girl,0.0012492102546006229
74,worst movies,0.0012342568758168522
75,half hour,0.0012283004946774731
76,remember,0.001219546924807221
77,trips,0.001210390750787264
78,want comment,0.0011577044378385786
79,ass,0.0011413073597924812
80,bo,0.0011395680034811512
81,bad film,0.0011298107879301955
82,stupid,0.0011262253624618203
83,opening,0.0011175492730785878
84,boring,0.0011006170546138379
85,jessica simpson,0.0011005171636678853
86,darcy,0.0011000048261151515
87,development,0.0010903630924184097
88,reviews,0.0010894705181779423
89,pitt,0.001087856869202416
90,thing,0.00108764930592377
91,joke,0.0010861816218311878
92,throw,0.0010861593410081782
93,exist,0.0010814857819180994
94,way long,0.001075048968931112
95,scenes,0.0010728622639509181
96,plot holes,0.0010713963281924824
97,austen,0.0010693028415414395
98,excuse,0.0010687777879519445
99,comprehend,0.0010659448624645703
