,feature,2014
0,worst,0.008599417492958516
1,best,0.007755531251564918
2,awful,0.006788097628307248
3,worse,0.005923890747288145
4,movie,0.005577590023366887
5,terrible,0.004985044562617289
6,waste time,0.004863031788147008
7,waste,0.0032253388931017023
8,movies,0.002944435010120482
9,crap,0.0028661622851739966
10,series,0.002788725916311035
11,love,0.0027172038729063844
12,time,0.0026615495906126
13,instead,0.0026224550472522794
14,poor,0.002599477444784647
15,know,0.002585423095360887
16,predictable,0.002539004449354206
17,just,0.00248470266412373
18,disappointed,0.0024129172907528963
19,girl,0.002405201793220415
20,bad,0.0023048400620050945
21,pointless,0.002296580292949809
22,film,0.002223346679563188
23,supposed,0.002098124222817142
24,drama,0.0020858482669059084
25,wasted,0.0020697176526417857
26,think,0.0020541394739130724
27,spoiler,0.002032972342155022
28,actors,0.0019894031942093533
29,acting,0.0019845828710799204
30,hollywood,0.00194672987280366
31,lot,0.0019391944926736681
32,days,0.001910614748131231
33,ve seen,0.0018895000823879338
34,spoilers,0.0018780153676677268
35,begin,0.0018500610506500506
36,porn,0.00179947210597758
37,brilliant,0.0017835755002531119
38,night,0.0017776433121784846
39,maybe,0.0017534275005654798
40,need,0.001746687025128931
41,unfortunately,0.0017267267662759989
42,loved,0.0017222742464195764
43,different,0.0017220260269115283
44,low,0.0017144591137219316
45,horrible,0.0017005801003995894
46,imdb,0.00167284032271603
47,lars,0.0016603136859233922
48,outstanding,0.0016472009384180593
49,money,0.0016215057088801565
50,especially,0.0016116782056551419
51,year,0.0016109084303007636
52,add,0.0015896639739751647
53,got,0.0015884009981768546
54,job,0.0015867565833349768
55,truly,0.0015767516891490902
56,looking,0.001566910369555562
57,mess,0.001556478288585766
58,couple,0.0015404530180220858
59,exception,0.0015403135826532737
60,weak,0.001536903850139208
61,shows,0.0015368108491656252
62,ridiculous,0.0015249649557457245
63,characters,0.0015185061576131992
64,effort,0.0015126241178718039
65,seconds,0.001490039265719557
66,fun,0.001468894057240177
67,wanted,0.0014592466214582694
68,like,0.001457243184358933
69,episodes,0.001432481554290765
70,played,0.001416578410286993
71,amazing,0.001395081300228093
72,train,0.001379173624446057
73,guess,0.001378202273983178
74,right,0.0013772865837362574
75,sucks,0.0013653210734249303
76,stuff,0.001362530894940929
77,poorly,0.0013499986917842146
78,breaking,0.0013473862756422823
79,don,0.0013452356871479544
80,want,0.0013422382203347198
81,week,0.0013268705287512103
82,negative reviews,0.001321343497794503
83,ve,0.0013029574005060979
84,times,0.001284448492009708
85,story,0.001273863919678972
86,little,0.001256027563373048
87,rave,0.0012472542457335426
88,people like,0.0012465711886406605
89,watched,0.0012435987851044665
90,let,0.0012406672790827528
91,comic,0.0012236687285162307
92,say,0.0012219391366818761
93,great,0.001217867568715935
94,really,0.001182305726379088
95,watch,0.0011796119652869824
96,favorite,0.001179596450955722
97,review,0.0011795668240954927
98,appeal,0.0011753538753899004
99,ratings,0.0011739143449179322
