,feature,2012
0,movie,0.007106009385972697
1,disappointment,0.0067724954067480275
2,love,0.0044734947742113415
3,crap,0.004161245202660634
4,shows,0.003386530368195933
5,hours,0.0033491591972062266
6,enjoy,0.003299956010101646
7,save,0.0031532734036950295
8,time,0.0030811278287715973
9,seriously,0.0028465436199494243
10,rubbish,0.0027144856284321743
11,tried,0.002655825512850034
12,good,0.0026492395022262396
13,end,0.002639447830050598
14,stupid,0.0026302184619029535
15,film,0.0026167483513091215
16,make,0.002609825611316206
17,money,0.002588299638657089
18,story,0.0025766811150204857
19,terrible,0.002504742618634018
20,obvious,0.002492797709933389
21,boring,0.002491943485121458
22,actually,0.0024754343864620276
23,waste,0.002407016174883529
24,just,0.0023884018952470974
25,episode,0.002363860764932495
26,believe,0.0023407096342288125
27,best,0.00232993603109568
28,years,0.002314541032173063
29,don waste,0.0022925679377760167
30,review,0.0022790749636323903
31,characters,0.002157970831271414
32,reason,0.002140301079664763
33,writers,0.0021195615663704304
34,movies,0.0020687226638212166
35,supposed,0.002024735373557821
36,hilarious,0.0019470559124632198
37,predictable,0.0019386371710863395
38,don understand,0.0019358797977930998
39,horrible,0.0019131006056659656
40,don,0.0018639781137730163
41,main,0.0018444597084553843
42,given,0.0018297985596706045
43,sorry,0.0018146754992831072
44,amazing,0.0017852175515374554
45,right,0.0017671106939617068
46,contains,0.0017627382199436972
47,things,0.0017539737812376243
48,dreadful,0.0017424607925397104
49,oh,0.0017224842912225923
50,series,0.0016976392184647412
51,bother,0.001674420993233441
52,say,0.00167269349727453
53,lot,0.001669565199171695
54,happened,0.001669017325863499
55,glad,0.0016655288023435823
56,fun,0.0016649894596942089
57,know,0.0016017723698530182
58,average,0.001568286854866427
59,totally,0.00156810839766846
60,different,0.001565835435893829
61,failure,0.001560976195549868
62,positive,0.0015391977738308201
63,jokes,0.0015382036225614546
64,great,0.001529976208801198
65,cheesy,0.0015152255044999768
66,superb,0.0015051076231726395
67,minutes,0.001478373565701796
68,pretty,0.001477747680945891
69,ve seen,0.0014757088694283206
70,does,0.0014235777833953034
71,scene,0.0013969894140130783
72,worst,0.001385526942562575
73,badly,0.001379196806056852
74,watch,0.0013699557996563738
75,fact,0.001357352979290259
76,saw,0.0013512831644706576
77,try,0.001348488697359344
78,perfect,0.001340684290474576
79,life,0.0013355472130907298
80,like,0.0013319525372673326
81,dumb,0.0013280561265303654
82,scenes,0.0013046562812350396
83,imdb,0.0012931725506562751
84,disappoint,0.0012899096454262664
85,came,0.0012761986981775907
86,half,0.0012572529744818875
87,mention,0.0012511461845180634
88,people,0.0012509717749061573
89,contains spoilers,0.0012455313394116826
90,humor,0.0012390165338995443
91,bad,0.0012266620272853568
92,liked,0.0012129326132961317
93,crappy,0.0012110012532600377
94,disappointed,0.0012064452843998223
95,spoilers,0.0012011809320190997
96,mother,0.0011886018620243016
97,wanted like,0.0011850493704438064
98,example,0.0011814112016597087
99,sense,0.001176909517377053
