,feature,2001
0,spoilers,0.012315325846607982
1,bad,0.0118549314097348
2,hollywood,0.009571408323418082
3,plot,0.007914215749833125
4,acting,0.006902065538411462
5,movie,0.006662649590349933
6,boring,0.006469377197052531
7,begin,0.0059799757070407075
8,unfortunately,0.005858575522507294
9,total,0.0050496672585661805
10,instead,0.004938858198287941
11,film,0.004832755486127401
12,reason,0.00479848712439994
13,camera,0.004485949398789551
14,seen,0.0043031579817640565
15,people,0.004228097605561516
16,walk,0.004182799614649986
17,worst film,0.004180400645263547
18,jurassic,0.0040658624572263435
19,make,0.003941083364996087
20,observations,0.0038976751969693746
21,things,0.0038739369021888307
22,read,0.003869889306594465
23,predictable,0.0035968051227712296
24,contain,0.003592142020915068
25,funny,0.00357551446044407
26,story,0.003470274465620681
27,contains spoilers,0.0034701402305772635
28,alive,0.00334695174091567
29,began,0.003330246719603304
30,just,0.0032553447051824084
31,warning,0.0032499043289262648
32,liked,0.0032411752433819177
33,music,0.0032132495436085844
34,felt,0.0031281291945598824
35,piece,0.0030815696450611175
36,idea,0.003064081929434144
37,plays,0.0030178764296540086
38,worse,0.003003351702066322
39,good,0.0029576924904380873
40,worst movies,0.0029559428516067626
41,entire movie,0.0029469981525330384
42,makes,0.002892526182787649
43,example,0.0027258102411496874
44,kevin,0.0026697787603353765
45,just like,0.0026664769580807615
46,insult,0.002665659948742679
47,contains,0.002664677870328229
48,spoiler,0.0026544684218147516
49,awful,0.0026266201870884533
50,holes,0.0026237173188821635
51,real,0.002611224677514809
52,year,0.002603154886870789
53,turkey,0.00259719083019152
54,movie just,0.0025895528855135116
55,level,0.002571983322331541
56,2001,0.0025006139358679878
57,boredom,0.002493276846056918
58,fight,0.0024127149271475413
59,major spoiler,0.0023892418152531994
60,won,0.0023703661856326157
61,chase,0.00234668540474974
62,mary,0.002336850462855075
63,horrible,0.0023300501903935353
64,poor,0.0023139118248362216
65,time,0.002306143143540011
66,walked,0.0023043903392486855
67,oh,0.00229477014273942
68,meet parents,0.002291492820280002
69,parents,0.0022704256267078804
70,scenes,0.002244359774876482
71,disaster,0.0022248040567915224
72,russell,0.0021317142372758737
73,intended,0.0021195578940914075
74,style,0.0020874960814672447
75,thought,0.0020856866108315856
76,gave,0.002082567279126078
77,theatre,0.0020710249772503296
78,farrelly brothers,0.002052208883641741
79,smith,0.0020342284171230456
80,really bad,0.0020316042745516668
81,right,0.002017154949446784
82,review,0.001985835284719438
83,watch,0.001958260985293178
84,265,0.001956078722997796
85,non animated,0.00193180616073241
86,great story,0.0019315773662394273
87,acceptable,0.001921812136076704
88,thing movie,0.001915187131815137
89,care,0.0018818725603594294
90,interesting,0.0018487403190963017
91,treatment,0.0017967265135725417
92,fact real,0.0017936695024255381
93,missed,0.0017933805259665754
94,half,0.0017923994451065814
95,mouth,0.0017673805263696077
96,accurate,0.001766651209409163
97,ham,0.0017655959132110183
98,guy,0.001752894095345498
99,personal,0.0017525245554836587
