,feature,2010
0,movie,0.007267212128808931
1,great,0.006460839176316553
2,poor,0.005558348454126965
3,money,0.004660396234611661
4,horrible,0.004659285921221899
5,waste,0.004614622182357528
6,bad,0.0042757484277183445
7,spoilers,0.0038906717463058154
8,worse,0.0035791910010975645
9,worst,0.003579074618963775
10,series,0.0035065142847906646
11,sick,0.0033391878152196006
12,awful,0.0032097988651779083
13,make,0.003174990170950459
14,sex,0.0031578201526345287
15,contains,0.003094887566148815
16,disappointed,0.0029208599749437035
17,love,0.0029075553502640136
18,plot,0.0028484977315400726
19,amazing,0.0028484622953862575
20,best,0.0027837555642734038
21,god,0.002666183325152196
22,minutes,0.002571652523279418
23,seen,0.0024915039115145925
24,like,0.0024723041332591123
25,film,0.002401661218842684
26,fantastic,0.0023562429947779438
27,trying,0.002348612856579484
28,begin,0.0023293261062212562
29,new,0.0023217019264664754
30,tell,0.0022688585027194714
31,decent,0.0022492502822623658
32,badly,0.0022177311168512627
33,terrible,0.002191138052697513
34,don know,0.002183094385448998
35,surprised,0.0021763651846064777
36,ways,0.0021629416802716028
37,believe,0.002151941596129449
38,think,0.0021514845905254163
39,bad movie,0.0020492495372932138
40,life,0.0019927541780683034
41,hard,0.0018991925870925999
42,unfortunately,0.001883479415258258
43,rubbish,0.0018493450701425039
44,come,0.0018434309870982621
45,written,0.0018004551128166873
46,caused,0.0017619408273160716
47,tried,0.0017419326293389172
48,characters,0.0017235032606110225
49,hollywood,0.0016988213116539592
50,romantic,0.0016940260439393825
51,family,0.0016837030606805796
52,funny,0.0016579827444705563
53,twilight,0.001639726845707365
54,hour,0.0016019365858364516
55,seeing,0.0015954242943259163
56,ruined,0.0015848824598456747
57,self,0.0015644551187921686
58,stuff,0.0015642336170909113
59,point,0.0015450626550229216
60,story,0.0015201092909129467
61,skip,0.0015065913186440107
62,books,0.0014856624430592217
63,10,0.0014727185674330546
64,drama,0.0014662365465226324
65,better,0.0014421133177128576
66,boring,0.0014389023691793231
67,hopes,0.001422645146746799
68,worst movie,0.0014172422460627374
69,saw,0.0013825266012110807
70,pieces,0.0013792958568564402
71,charming,0.0013646562694583874
72,good,0.0013593907208687848
73,animation,0.0013558112068408673
74,premise,0.0013496299471694821
75,waste time,0.0013471055056239888
76,jumped,0.0013441977431454112
77,cameron,0.0013350047534027355
78,beautiful,0.0013313481998852247
79,dressed,0.001329941743248415
80,realized,0.0013215975179449915
81,don,0.0012746773008387364
82,reality,0.0012687432708670498
83,got,0.001260247755386258
84,oh,0.0012442224461643337
85,fat,0.001238023320138277
86,didn,0.001233131270467361
87,garbage,0.001230332462442154
88,favorite,0.0012286421639030299
89,say,0.0012229701703416948
90,list,0.0011901125751318862
91,prepared,0.001186410966345075
92,face,0.0011816197838542286
93,ll,0.001160976373928976
94,directing,0.0011556774284962456
95,world,0.001154556346225143
96,thing,0.0011421049403970342
97,opportunity,0.0011382659578513875
98,really bad,0.0011246061168870662
99,lame,0.0011024101312902804
