,feature,1999
0,thing,0.021678971600682037
1,screenwriters,0.02164238759726491
2,kaufman hits,0.013558222519585444
3,time,0.011386170181238634
4,believe,0.010780375811223486
5,wanted,0.010121307598233764
6,tv,0.010045714680903034
7,wait comes,0.009926129745406145
8,actors,0.009540181721018674
9,trying,0.00902777777777778
10,kaufman,0.008710801393728217
11,words,0.008304124095756583
12,bad,0.007923387096774192
13,film excessively,0.00784632034632034
14,finally reached,0.007755009107468129
15,performance,0.0076554337599442565
16,simply teenage,0.007560483870967744
17,sorry suggest,0.007413629848986772
18,teen,0.007310267857142856
19,school instead,0.007191480017566978
20,sandler movie,0.007151129480621242
21,cruise,0.007108257809237267
22,went austin,0.0069871177219069155
23,supposed,0.006934641445511011
24,drags,0.006824512931779622
25,beautiful,0.0067785043645199
26,way,0.006707897256259028
27,football yeah,0.006703216374269005
28,lives,0.006674165729283835
29,mention movie,0.006674165729283835
30,sex thrills,0.006518493517394586
31,kid,0.006467858200849214
32,witty,0.006432393850921432
33,shots film,0.006368055555555562
34,scarce,0.00636573249716651
35,tom cruise,0.0062813919756416255
36,worth seeing,0.006276415086401678
37,sandler proves,0.006144465290806759
38,flicks,0.00612502862116145
39,satire,0.006077744585729232
40,biggest mistake,0.006070252749569633
41,really,0.00596109610961096
42,sort,0.005944918289896608
43,sex,0.005915311685296015
44,hot,0.005869583237187175
45,high hopes,0.005865177586456827
46,sorry,0.005862181637947597
47,actors overcome,0.005844735276621061
48,toned,0.005832649630800641
49,dreadful,0.0058199246833276225
50,comedy,0.0058199246833276225
51,best thing,0.005678702481506279
52,annoying running,0.00558796875
53,guys idea,0.0055664145491629135
54,played johnny,0.005479687999803154
55,writing,0.005406839622641511
56,austin powers,0.005360613810741688
57,getting,0.005359938330170783
58,movie screenwriters,0.00535147864534939
59,young adults,0.005332031250000005
60,theatre hard,0.005305715162206428
61,depiction,0.005264689578713975
62,sequel gagged,0.005253721484347355
63,high school,0.005219289857844072
64,tom,0.005188180348565273
65,self centered,0.005041449909222205
66,total waste,0.005036198078650903
67,film ll,0.0050172558922558915
68,worth seen,0.005013990074965682
69,credit,0.005005896449707705
70,enigma thought,0.004952353969085038
71,vision raving,0.004926440201669559
72,supporing characters,0.004849672223886068
73,mini shallow,0.004794056359843858
74,quality,0.00473224934823681
75,effects marvel,0.004729864177878197
76,video,0.004673320506653833
77,tried instead,0.004668311403508767
78,life plot,0.004668311403508767
79,sequels,0.004631584341053496
80,regret decision,0.004611351614007576
81,exaggerated expressions,0.00456382385730212
82,hope,0.004555743470274631
83,absolutely idea,0.004531742956772017
84,intended,0.004526499376574337
85,does condescend,0.0045073351482153735
86,reminds teenage,0.004506416202844779
87,cool,0.004504401247019988
88,humour lack,0.004471871586357567
89,hayek make,0.004421532978110595
90,missing,0.004391604089102033
91,movies represents,0.004354544126241965
92,pictures,0.00434829633607829
93,wonderful special,0.004209392655367229
94,shut stanley,0.004180367672563303
95,geared,0.004120154067051072
96,truly,0.00409142367953004
97,banal,0.00407137978142076
98,break game,0.004057373547505129
99,watched,0.003939048393774107
