,feature,2003
0,great,0.014551323022259638
1,spoilers,0.014222881963167866
2,crap,0.014155639644094765
3,bad,0.008398716565658722
4,movie,0.00686515687757826
5,possibly,0.006344401643470695
6,good,0.006010339194113518
7,waste,0.005846400775416959
8,saw,0.005749902519078822
9,annoying,0.005615822042474921
10,boring,0.005477679097974836
11,awful,0.00532159729183292
12,worst movie,0.005237296809650192
13,spoiler,0.0047830552991395305
14,watch,0.004734154730407703
15,terrible,0.004651034211275975
16,film,0.004513853475428709
17,tell,0.004244844310150179
18,let,0.004022836111813467
19,know,0.003799841657565553
20,pathetic,0.003734288633171179
21,director,0.003677244526952486
22,possible,0.0036505067072557552
23,didn,0.0036209745509705182
24,genre,0.0034529859243464605
25,lot,0.0034152646759684517
26,book,0.0033738016079544867
27,time,0.0033418947450961555
28,read,0.003340051164024632
29,possible spoilers,0.0032343466800312803
30,movies,0.0031962718335921863
31,say,0.003132445254734036
32,spoilers continued,0.0031288628241194745
33,seen,0.00291527896471142
34,supposed,0.0028628571688641886
35,oh,0.0028089185249359112
36,poor,0.002795127990267316
37,like,0.002775168392015725
38,begin,0.0027383510644958314
39,flaws,0.0025613818599103033
40,actually,0.002470037155593103
41,confessions,0.0023769496185519624
42,kind,0.002354773604633609
43,worst movies,0.0023463779744335193
44,acting,0.0023252272277575975
45,watched,0.0023096130229366112
46,cinderella,0.0023063824807259834
47,drug,0.002281216552638577
48,sexual,0.002155170305926158
49,piece,0.0021525383498494457
50,worst,0.0021476885643337967
51,hollywood,0.0021182934194587796
52,feel,0.0021094071674220916
53,loved,0.0021077338034766425
54,married,0.0021057097715821344
55,word,0.0020296874344237206
56,new,0.0020227884057082467
57,characters,0.0019987929559831144
58,god,0.0019868492842929583
59,returned,0.001981072084594563
60,brilliant,0.001940361522686368
61,expecting good,0.0019247716551438435
62,kill,0.001910079139804352
63,jim carrey,0.0019024685294354593
64,agree,0.0018982933848766602
65,think,0.0018892370511165886
66,pointless,0.0018707551878498923
67,wish,0.001857080071074671
68,spend,0.0018294228148666724
69,excellent,0.001812162964887741
70,stomach,0.0017884250369385336
71,movies like,0.0017838699618402984
72,story,0.0017771484515574562
73,way,0.0017578648528500033
74,minutes,0.0017484634007128665
75,script,0.0017432417472301215
76,texas chainsaw,0.001724945402108895
77,channel probably,0.001719520235092488
78,certainly,0.0017042569041787192
79,comedy,0.0016958819542674786
80,spinning doubt,0.0016948806045224874
81,stay,0.0016899894591819397
82,worth,0.0016749155422205882
83,going,0.0016692498972907348
84,house,0.0016555436650859054
85,contains spoilers,0.001654080342033079
86,voted points,0.0016475603228443207
87,screen,0.0016428588184548144
88,oh god,0.0016365532741455554
89,add,0.0016236126697793678
90,kidman,0.0016205909614934622
91,thought,0.0016064214851412358
92,entire,0.0016041475519497825
93,puffy know,0.0015987885852544164
94,friends,0.0015737647069036602
95,copy,0.0015662851569133922
96,film making,0.001562843175716852
97,big,0.0015508248580576912
98,words,0.0015502301505178717
99,worse legally,0.0015449028806632467
