,feature,2004
0,spoilers,0.016214759493350175
1,worst,0.013565770520479165
2,terrible,0.008946503932729144
3,waste,0.005993285339966206
4,boring,0.004966635816698193
5,best,0.004329385133087929
6,day,0.004114016372375021
7,writing,0.003848762451178632
8,just bad,0.003836071357126246
9,poorly,0.003833521710268672
10,sum,0.003460059654256753
11,love,0.003441239703175053
12,great,0.0032691667305165574
13,mess,0.0032260169953937275
14,deserve,0.0031454793639437623
15,ocean,0.0031342740075317134
16,loves,0.003008548418331436
17,movie,0.0029238846498895
18,rubbish,0.002901176565290133
19,attention,0.0026623344215053898
20,just,0.0025444988540519083
21,plot twists,0.0024855708598125422
22,crap,0.002466778928256628
23,cheesy,0.0024526196651888468
24,mediocre,0.0024182991981092105
25,write,0.0024099661963855284
26,movie went,0.002381212661700682
27,25,0.002369757429289466
28,doesn,0.002342115498553724
29,quality,0.00233297019969216
30,aren,0.0023323087553524303
31,possible,0.002315825869443588
32,poor,0.002276770910773963
33,avp,0.0022528099698893305
34,performance,0.002237999156250518
35,don hate,0.00221327764741818
36,warning spoilers,0.0022009575679992704
37,received,0.0021990981513133347
38,set,0.002185026590464072
39,things,0.00215998028347304
40,watch,0.002158782417743868
41,years,0.0020908494771079947
42,sucks,0.0020777446446441942
43,unbelievable,0.0020625408020053266
44,comedy,0.002058959447694949
45,start saying,0.0020529223330885203
46,year old,0.0020449053745611985
47,seen,0.0020310045115488093
48,send,0.002022382271089859
49,year,0.0020168873563400315
50,hello,0.0020136116647909764
51,awful,0.0019999646979172057
52,film,0.0019843675329655882
53,failed,0.001979419027231466
54,attempt,0.0019666028382292026
55,point,0.0019495133956871184
56,feel like,0.0019420294535250585
57,make film,0.0019158246702755128
58,read book,0.0019127406776573211
59,unfortunate,0.0019093685542253165
60,money,0.001900473816829336
61,flat,0.0018873119932233215
62,implausible,0.0018856737703899936
63,ll,0.0018725269895811976
64,reason,0.0018638525159773527
65,mistake,0.0018452463229896021
66,pretty,0.001839562379070811
67,immediately,0.001825403735500852
68,read,0.0018214396054885152
69,ahead,0.0018040774577687089
70,contains,0.0018031803978081483
71,fact,0.0017988462449237048
72,ok enjoyed,0.0017459352590917308
73,wasted,0.0017433416967771848
74,historical,0.001741392564722831
75,girlfriend,0.0017392048802437588
76,movie night,0.0017344732057833392
77,mate,0.00172712312902847
78,runs,0.0017208465489683858
79,drivel,0.001705320878668418
80,2004,0.00167888838600674
81,let,0.0016631630436353862
82,dutch,0.001651175281199998
83,decent,0.0016506703995218797
84,tv movie,0.0016476012006448669
85,admired,0.0016391489752666747
86,stuck,0.0016231954821886452
87,christ,0.001621345645517959
88,just kind,0.001619642879986697
89,use,0.0016009680753225493
90,movies takes,0.0015985752080536562
91,spielberg,0.0015950089293629232
92,painful,0.0015893979275587284
93,hotel,0.0015870577249225849
94,want,0.001570847666684281
95,splat questions,0.0015669057794282354
96,getting,0.0015581653158031452
97,ways,0.0015578676717385273
98,theory going,0.0015576126059761975
99,simple story,0.0015442208099598165
