,feature,2015
0,annoying,0.006167297280472815
1,stupid,0.005958134670675923
2,spoilers,0.0053036314016310735
3,season,0.004653991666118202
4,boring,0.004649946434909724
5,maybe,0.004611600774992577
6,poor,0.004377163525202744
7,movie,0.004269506369091656
8,love,0.003361829534334041
9,just,0.0031668034655022805
10,definitely,0.0031485784174343076
11,waste time,0.002861102097746905
12,fun,0.0028498316394947078
13,horrible,0.0027716256907001405
14,bad,0.002761427758741262
15,unfortunately,0.002534327186339874
16,series,0.002522085458203784
17,plot,0.002488539452056653
18,awful,0.002465709741750851
19,minutes,0.0024224117368049636
20,like,0.0024193919150683457
21,going,0.0024123580366292984
22,money,0.002408975324697652
23,thinking,0.002331108695026486
24,tried,0.0023189129994158632
25,arrow,0.002311523369390378
26,worst,0.0022044038355363347
27,line,0.002201452650071519
28,opera,0.0020971007192907816
29,terrible,0.002076139476123202
30,contains,0.002050887583875858
31,unrealistic,0.0019954762417796123
32,sorry,0.0019915251422162705
33,let,0.001934876717169297
34,supposed,0.001918247566829196
35,don,0.0018891505674322288
36,tv,0.0018218581991610305
37,netflix,0.0017623707877094587
38,good,0.0017492581956410108
39,job,0.0017480209123466191
40,story,0.0017286830320180594
41,hopes,0.0017063610214352307
42,stand,0.0016764864296319522
43,hooked,0.0016724688939680106
44,cliché,0.0016721028428271088
45,potential,0.0016468721207999078
46,watch,0.0016445013666155854
47,watching,0.0016380679051597072
48,script,0.0016299464148722322
49,pointless,0.0016279500630615063
50,disappointed,0.0016167001235254778
51,self,0.0015934852121947131
52,try,0.001592882136894972
53,whatsoever,0.001580185959584193
54,world,0.0015773981531935072
55,ridiculous,0.001576991351370255
56,sex,0.0015589119867912334
57,30 minutes,0.0015360331445863201
58,brilliant,0.0015320060453719285
59,best,0.0015253935454608255
60,disappointment,0.0015252622319069417
61,review,0.0015179954585034536
62,don know,0.001513392010325638
63,friends,0.001498423486081781
64,main character,0.0014937147748548094
65,seen,0.0014923934459432214
66,guess,0.00148581033008349
67,didn,0.001483704769026523
68,film,0.0014793643714037011
69,contain,0.001479359625171839
70,time,0.0014682704651179431
71,laughable,0.0014607017615843932
72,30,0.0014519022764005666
73,life,0.0014509755775531162
74,book,0.0014320749382778083
75,imdb,0.0014089787985149165
76,really,0.0014010359363734073
77,look,0.001383690841408148
78,extremely,0.0013775962928458366
79,true,0.0013697062519114184
80,don waste,0.0013510468559640816
81,hell,0.0013495302998677249
82,acting,0.001340288526898818
83,performances,0.0013400095433382434
84,directed,0.0013394037453389827
85,dull,0.0013336522895781018
86,look forward,0.001329158598620878
87,lead,0.001313739727960838
88,lower,0.0013027586709061904
89,lame,0.0012999910460174534
90,lacks,0.0012835250140086417
91,sigh,0.0012732074732134846
92,read,0.0012673212127607275
93,predictable,0.001256549497491884
94,possible,0.0012553206345776416
95,way,0.0012452472746615748
96,clichés,0.0012305938278100378
97,start,0.0012215708892661828
98,forward,0.0011890655694093805
99,action,0.0011806654297414959
