,feature,2013
0,worst,0.007382158800289815
1,money,0.006577037960888968
2,terrible,0.006286076446498398
3,bad,0.0061667748545076485
4,spoilers,0.005246675920047921
5,best,0.0040328243773353764
6,movie,0.003677069014414779
7,mess,0.0036007508980541924
8,role,0.0035899303434990654
9,high,0.0034280940818947
10,awful,0.003424136661967609
11,wanted like,0.003416430251716905
12,waste,0.003282757694841411
13,love,0.0030265288221838866
14,didn,0.0029894610139606145
15,garbage,0.002840326400349257
16,great,0.002813249046064886
17,time,0.002569296890163139
18,lot,0.0025443323520422238
19,family,0.002517458739339523
20,boring,0.0024676194503474415
21,decent,0.0023626370214285585
22,man,0.0023577727995782354
23,favorite,0.002345998351531524
24,writers,0.002182165144208551
25,believe,0.002169424209843125
26,contains spoilers,0.0021661718670500834
27,called,0.0021407260781118
28,good,0.0021023576005570936
29,horrible,0.0020485509531379636
30,paid,0.0019963148618960245
31,just,0.0019958576856819697
32,apparently,0.001994660310271417
33,cops,0.0019034318794234558
34,really,0.0018708978097698528
35,recommend,0.0018683529458187434
36,thing,0.0018516627731260283
37,does,0.001831280080395049
38,stinker,0.0018034103111446344
39,worse,0.0017609425995025283
40,way,0.00175009028798498
41,mentioned,0.0017353167092352517
42,ahead,0.0017054843861227045
43,entire,0.0016980060434605426
44,disappointment,0.0016965310089578727
45,worst movie,0.0016940320332677317
46,written,0.0016576653920053874
47,actually,0.0016368510617864689
48,thought,0.0016064637394321286
49,like,0.0015717232365932542
50,rubbish,0.0015648007216791885
51,begin,0.0015541167849291615
52,ups,0.0015539355550497837
53,shows,0.0015537559989611525
54,oh,0.0015283738621872597
55,unfortunately,0.0015075287306793093
56,jackson,0.0014899617475647702
57,talking,0.001462717726307268
58,years,0.0014499800684653588
59,quite,0.0014243431391982799
60,universe,0.0014235294005180707
61,life,0.0014153099140363447
62,usually,0.001410808950050099
63,dancing,0.0014073342507069085
64,come,0.0014039082482643836
65,dark,0.0014034408633490036
66,shouldn,0.0013905721100822641
67,ve,0.0013802653047678888
68,hope,0.0013800266780707457
69,fun,0.0013710766748738438
70,entertaining,0.0013158650378493858
71,book,0.0013156044948591922
72,cast,0.0013063653551097349
73,mistake,0.001298823443999998
74,50,0.0012843190062804496
75,insulting,0.001271731136407279
76,interesting,0.0012712077457264978
77,film,0.0012429570071376228
78,characters,0.001242470606243091
79,certain,0.0012410775168201949
80,hollywood,0.0012410497440329196
81,want,0.001238356927964089
82,perfect,0.001226786201899776
83,lost,0.0012178201734750907
84,away,0.0012062224059955148
85,seen,0.0012010709768219665
86,year old,0.0011930490465239623
87,hooked,0.0011921701717567757
88,different,0.0011875970988374257
89,jokes,0.0011788797687797118
90,let,0.0011649642799266614
91,hoped,0.001158717775301699
92,peter jackson,0.0011580236140604119
93,opinion,0.0011574559756630694
94,watched,0.0011438858990187799
95,disappointing,0.0011395953938254705
96,poorly,0.0011392521814029923
97,rest,0.0011330023200908752
98,really wanted,0.0011287075135592635
99,character,0.0011221672574574344
