,feature,2007
0,worst,0.008918420916525964
1,best,0.007287372246952624
2,stupid,0.007079545108962261
3,terrible,0.005221800893177147
4,bad,0.004917835646809229
5,horrible,0.0047401978539253365
6,waste,0.004613425457581444
7,supposed,0.004323525076867794
8,movie,0.0042644456663555675
9,great,0.00406668929359951
10,day,0.003456177531861103
11,amazing,0.003223088681624222
12,disappointment,0.0029385187492533636
13,man,0.002771596886222502
14,film,0.0027261844214177076
15,crap,0.0026475673040129736
16,spoilers,0.0025730432856325126
17,excellent,0.0024848980948818508
18,awful,0.002400283772637743
19,boring,0.00239978957194404
20,like,0.002391114974892808
21,almighty,0.0023317389886847568
22,let,0.002198143136373935
23,pointless,0.0021749135572790754
24,contains,0.0021440140465564085
25,movies,0.0020891543790959267
26,sadly,0.0020711825267535227
27,development,0.002068048287984206
28,lame,0.002062126372503337
29,way,0.002036871318654276
30,reviews,0.0019801902542456013
31,hilarious,0.001968890381925439
32,watching movie,0.001963240947081609
33,poorly,0.0019451856226034895
34,mess,0.001937786197713863
35,clichéd,0.0018632132605659623
36,stars,0.0018334929120700995
37,promising,0.001822163210439344
38,ridiculous,0.0017809997629422056
39,make,0.0017681098597048532
40,rob zombie,0.0017422929503056871
41,don,0.0017226733080072626
42,poor,0.001718753224411796
43,love,0.0017064652785759309
44,money,0.0016798998039153066
45,hollywood,0.001658657067930873
46,think,0.0016362099110957258
47,films,0.0016328969852647218
48,zombie,0.0016246205591648661
49,wonderful,0.0016034281259976768
50,halloween,0.0015982461174480825
51,sorry,0.001598130753316309
52,hours,0.0015953542297103146
53,unfunny,0.0015850945304713697
54,comedy,0.0015848766470657704
55,apparently,0.001576882119352663
56,plain,0.0015642199602043452
57,sense,0.0015608651084185157
58,seen,0.001543313321751702
59,little,0.001540785501682737
60,idiotic,0.0015272799790709876
61,time,0.0015024639642373507
62,worse,0.0014524539994098132
63,contains spoilers,0.0014472496164281185
64,ve,0.0014376340354191961
65,congratulations,0.0014112914200444591
66,end,0.0014045693288976663
67,history,0.0014033348179029246
68,disappointed,0.0013992743066442478
69,character development,0.0013944013492729044
70,know,0.0013934773991326659
71,average,0.0013598313894929003
72,interested,0.0013545520204180455
73,lot,0.0013400315758722297
74,good,0.001335401482783143
75,story,0.0013071233074832354
76,movie book,0.0013012471107550878
77,premise,0.001283225611463858
78,self,0.0012759647782191086
79,teenager,0.0012713722989544614
80,short,0.001267322640186759
81,just,0.0012581186067675513
82,10,0.0012562722079951
83,surprised,0.0012381466039503967
84,stop,0.0012255122569032244
85,saw,0.0012203485905900291
86,silly,0.001212570737048356
87,shows,0.0012049285005279156
88,hype,0.0012034910634017317
89,pleasantly surprised,0.0011970952645235491
90,wife,0.0011851182550139403
91,experience,0.0011766758348678058
92,reasons,0.0011737692716330948
93,scary,0.0011655861324678417
94,real,0.0011510670766486375
95,oh,0.0011309563623216879
96,wanted,0.001130064180078459
97,really,0.0011230955150003702
98,sure,0.0011207645138642923
99,wasted,0.0011152479468285112
