,feature,2000
0,worst,0.019737962189049874
1,movie,0.0168455170414577
2,awful,0.01285903091983929
3,terrible,0.0097397371295407
4,contains spoiler,0.009475230359148715
5,pay,0.008852911997391263
6,virgin suicides,0.008651178735659487
7,boring,0.00845698109794606
8,writing,0.007343095468218578
9,believe,0.007281019719011207
10,contains,0.006907960930153334
11,waste,0.006596669924174926
12,attempt,0.006439962050457618
13,meaning,0.006419301244853235
14,good,0.0061546861986893145
15,bad,0.005722040317345
16,jawbreaker heathers,0.0056244398467605065
17,watch,0.005379624675602571
18,spoiler,0.005058657305307598
19,used talking,0.005035688716660776
20,beginning,0.005008954995007958
21,important,0.004912973615978417
22,miramax,0.004779711781932021
23,time,0.004729254323272215
24,dean,0.004625260901801084
25,alienation,0.004595697395989225
26,ridiculous,0.004411605423373778
27,story written,0.004349800337263153
28,mrs,0.004341104981347191
29,despite flaws,0.00431562248305474
30,ok,0.004286970906115338
31,american,0.0042807595174750995
32,example,0.004240257085537081
33,contain,0.004102264195431892
34,bad bryan,0.004038552889469034
35,probably,0.003972352251008703
36,momma house,0.003956476929751417
37,big fan,0.003893458965500228
38,video store,0.00378590019789551
39,feeling,0.003707122314329218
40,saw,0.003661935483241935
41,regularly wearing,0.0036551627394162114
42,film seen,0.0036281981491562273
43,walked,0.0036279037863544894
44,poor,0.0036096997188541586
45,film,0.0035103430300094073
46,extreme,0.003493822631077538
47,tell,0.0034855010990955137
48,45,0.003464035149460075
49,middle,0.0034541615999157836
50,agree,0.003381326352530535
51,interesting,0.0033596547528058776
52,possibly,0.0033317088628152082
53,jim,0.003240161081881028
54,didn pay,0.003231039280856555
55,stargate idea,0.0032146032130566673
56,entire 20,0.0031864396099497475
57,score,0.003186407480809529
58,hype pigeon,0.0031719787336126327
59,contain spoilers,0.0031706745331469637
60,audience,0.003140945303099216
61,script,0.0031113782280970262
62,dean kish,0.0030860838283176388
63,credentials,0.00304069262465777
64,watchable,0.0030389605061849666
65,interspersed movie,0.0030349211402403643
66,cartoon,0.0030290264374579125
67,anybody,0.0030075187969924888
68,movie right,0.002989553099004267
69,friend,0.0029886216911872063
70,week regularly,0.002961102757880502
71,movie movie,0.00292958111205852
72,immoral,0.002914050581533684
73,scenes characters,0.0029123036649214688
74,race,0.0028481963311035308
75,talking,0.002843835704544263
76,late,0.0028431035962578335
77,watching,0.002835135163420591
78,reactions shoe,0.0028287072404719576
79,extent,0.0028174040889381367
80,french,0.0027845494857157522
81,turn,0.002784536376637071
82,feature length,0.002769467298263106
83,caused,0.0027665380742786182
84,film like,0.00276576994965241
85,kind,0.0027482653382893438
86,hit silver,0.002727558185040684
87,virgin,0.0026607182785833845
88,ending ultimately,0.0026492988620983953
89,forbid,0.0026248080675773397
90,moment,0.0026176034211904302
91,uh races,0.0026095048009494117
92,time year,0.002603454714020547
93,theater,0.0025910422341379642
94,editing,0.0025862172357216788
95,moron,0.0025817127460168706
96,high rating,0.002580174509110549
97,time film,0.0025772452008156243
98,east saw,0.0025599781266296144
99,setting sequel,0.002553983422205789
