,feature,2008
0,worst,0.00869343041847781
1,bad,0.006559110589138493
2,great,0.005826529298731982
3,terrible,0.005465662207088469
4,stupid,0.00528577759675323
5,awful,0.003797564726962587
6,fun,0.003639479155358398
7,money,0.0036359684252977747
8,whatsoever,0.0034188647660195704
9,dumb,0.0029320829054692702
10,waste,0.0029320411332597164
11,tried,0.0028857998842481422
12,like,0.002830707868301416
13,just,0.002762837220042826
14,crap,0.0026076136197040827
15,best,0.002557624431232498
16,completely,0.0025274019448003706
17,worst movie,0.002390595931187986
18,screening,0.002357851168393199
19,movie,0.0022128124135929565
20,failure,0.002141368103000266
21,waste time,0.002038551421809246
22,action,0.001910014478609091
23,idea,0.001894339896710956
24,watch,0.0018935689142752915
25,ve,0.0018598080882370565
26,characters,0.0018393517007162252
27,watched,0.0018363335857623174
28,lewis,0.001827847784009276
29,don,0.0017984406107161993
30,recommend,0.0017948441454610903
31,quite,0.001788226521850149
32,right,0.0017197807839630513
33,maybe,0.0017117590528619153
34,people,0.0016938157976637337
35,original,0.0016914406544236665
36,pass,0.0016763970532769866
37,sure,0.0016510629715988435
38,film,0.0016506699184342239
39,lacking,0.0016357601741208102
40,brilliant,0.001631281795105626
41,huge,0.0016141131236128026
42,literally,0.0016027883333430697
43,based,0.0015887783709080262
44,actually,0.0015788041321093814
45,read,0.0015735700252286762
46,favorite,0.0015668521677200242
47,year,0.0015410080482230076
48,save,0.0015365239202128618
49,caspian,0.0015284229646019376
50,trying,0.0015205586299752688
51,alien,0.001509586755236772
52,poor,0.0014723400946431645
53,sense,0.0014704119008711208
54,order,0.0014702615022288376
55,figured,0.0014594252683555208
56,going,0.001457996608082211
57,ridiculous,0.0014331471737064386
58,hour,0.0014291648288883147
59,new,0.001421822380583254
60,garbage,0.0014097262384739774
61,bad movie,0.0013836798898269821
62,lacks,0.001381744413516002
63,way,0.00137205709653569
64,thought,0.0013559182873451611
65,pretty,0.0013434105536632814
66,seen,0.0013411799349133675
67,let,0.0013382359555499054
68,end,0.001334533869114705
69,slow,0.001331035007743084
70,amazing,0.0013275867461484086
71,disappointed,0.00130565621149941
72,episode,0.0013035560289403887
73,wearing,0.001296775370778763
74,bunch,0.001282375110411358
75,running,0.0012743989607689973
76,things,0.0012633879167646684
77,supposed,0.0012518747845037198
78,remake,0.0012496063524692666
79,combination,0.0012486473222577874
80,watching,0.0012461107201663848
81,come,0.0012435810090364128
82,stupidity,0.0012392509721264428
83,sucks,0.0012297967073035675
84,good,0.0012283254347931819
85,extremely,0.0012274965680818593
86,actor,0.00122643510289734
87,funny,0.0012254699624650307
88,shows,0.0012253312516999361
89,dragged,0.0012237829736518242
90,sad,0.0012070704201044813
91,surprise,0.0012062722482365684
92,imagine,0.0011969243499036209
93,dull,0.00119571417928932
94,minutes,0.0011848605753906937
95,spoiler,0.0011832494355616995
96,footage,0.001175142162095974
97,music,0.0011652346418019773
98,loved,0.0011575933182574258
99,pile,0.0011554587771217403
